#	Giocatore	Pos	Squadra	Presenze	Titolare	Minuti	Goal	Goal Rig	Ass	Gialli	Rossi	Clean Sheet
309	David Neres	Att	NAP	4	3	264	0	0	0	1	0	2
310	F. Acerbi	Dif	INT	3	1	108	0	0	0	0	0	1
311	A. Dovbyk	Att	ROM	3	0	61	1	0	0	0	0	0
312	L. Montipo	Por	VER	6	6	540	0	0	0	0	0	0
313	Miguel Gutierrez	Dif	NAP	5	2	193	0	0	0	0	0	0
314	D. Mosquera	Att	VER	6	3	214	0	0	0	0	0	0
315	G. Raspadori	Att	ATA	2	1	124	1	0	0	0	0	1
316	N. Pierini	Att	SAS	5	0	55	0	0	0	0	0	0
317	T. Baldanzi	Cen	ROM	1	0	34	1	0	0	0	0	0
318	S. Perilli	Por	VER	2	2	180	0	0	0	0	0	1
319	C. Volpato	Cen	SAS	3	3	236	0	0	0	0	0	0
320	A. Benedyczak	Att	PAR	5	3	200	0	0	0	0	0	1
321	S. Beukema	Dif	NAP	4	3	212	0	0	0	0	0	0
322	K. Taylor	Cen	LAZ	3	3	264	0	0	0	0	0	2
323	R. Floriani Mussolini	Dif	CRE	7	1	196	0	0	0	0	0	0
324	N. Fortini	Dif	FIO	7	0	149	0	0	0	0	0	0
325	M. Hojholt	Cen	PIS	5	2	161	0	0	0	0	0	0
326	W. Cheddira	Att	LEC	7	1	127	0	0	0	0	0	0
327	F. Rinaldi	Por	PAR	1	1	90	0	0	0	1	0	1
328	S. Sohm	Cen	BOL	5	1	119	0	0	0	0	0	0
329	R. Durosinmi	Att	PIS	2	0	72	1	0	0	0	0	0
330	E. Zhegrova	Att	JUV	6	0	157	0	0	0	0	0	0
331	O. Gandelman	Cen	LEC	4	3	261	0	0	0	0	0	1
332	P. Masini	Cen	GEN	5	0	103	0	0	0	1	0	0
333	R. Belahyane	Cen	LAZ	5	2	227	0	0	0	0	0	0
334	Sergi Roberto	Cen	COM	4	0	63	0	0	0	0	0	0
335	Lorran	Cen	PIS	5	0	69	0	0	0	0	0	0
336	E. Holm	Dif	BOL	5	3	212	0	0	0	1	0	0
337	C. Lykogiannis	Dif	BOL	2	2	180	0	0	1	1	0	0
338	I. Vural	Cen	PIS	3	2	172	0	0	0	1	0	0
339	A. Vergara	Cen	NAP	3	2	153	0	0	0	1	0	1
340	S. de Vrij	Dif	INT	3	1	93	0	0	0	0	0	0
341	L. Moro	Att	SAS	6	1	114	0	0	0	0	0	1
342	Z. Athekame	Dif	MIL	6	0	89	0	0	0	1	0	0
343	Zito Luvumbo	Att	CAG	3	2	121	0	0	0	0	0	0
344	E. Iannoni	Cen	SAS	4	1	126	0	0	0	1	0	0
345	Fali Cande	Dif	SAS	4	2	135	0	0	0	1	0	0
346	E. Ebosse	Dif	VER	2	2	161	0	0	0	0	0	1
347	Y. Trepy	Att	CAG	1	0	6	1	0	0	0	0	0
348	S. Sabelli	Dif	GEN	2	1	85	0	0	0	1	0	1
349	A. Vranckx	Cen	SAS	4	2	148	0	0	0	1	0	0
350	T. Dallinga	Att	BOL	4	3	213	0	0	0	0	0	0
351	N. Casale	Dif	BOL	3	2	194	0	0	0	0	0	0
352	K. NâDri	Att	LEC	5	0	116	0	0	0	0	0	0
353	Ze Pedro	Dif	CAG	2	2	180	0	0	0	1	0	1
354	M. Thorsby	Cen	GEN	4	2	166	0	0	0	1	0	0
355	P. Mazzocchi	Dif	NAP	5	1	105	0	0	0	0	1	0
356	D. Oyegoke	Dif	VER	4	2	129	0	0	0	0	0	0
357	S. Posch	Dif	COM	5	0	100	0	0	0	1	0	0
358	A. Harroui	Cen	VER	4	0	69	0	0	0	0	0	0
359	C. Ordonez	Cen	PAR	5	1	140	0	0	0	0	0	1
360	F. Camarda	Att	LEC	4	3	220	0	0	0	0	0	1
361	S. Scuffet	Por	PIS	3	3	270	0	0	0	0	0	0
362	J. Zemura	Dif	UDI	1	1	89	0	0	1	0	0	0
363	T. Anjorin	Cen	TOR	3	0	61	0	0	0	0	0	0
364	Patric	Dif	LAZ	1	1	70	0	0	0	0	0	1
365	D. Padelli	Por	UDI	2	2	180	0	0	0	0	0	0
366	N. Rovella	Cen	LAZ	2	0	58	0	0	0	0	0	0
367	A. Diouf	Cen	INT	3	1	69	0	0	0	0	0	0
368	L. Samardzic	Cen	ATA	5	0	83	0	0	0	1	0	0
369	M. Olivera	Dif	NAP	2	1	73	0	0	0	0	0	0
370	L. Lucca	Att	NAP	4	0	23	0	0	0	0	0	0
371	I. Gueye	Att	UDI	5	0	81	0	0	0	0	0	0
372	K. Ehizibue	Dif	UDI	5	0	59	0	0	0	1	0	0
373	P. Lirola	Dif	VER	2	2	155	0	0	0	1	0	1
374	G. Bonfanti	Dif	PIS	3	2	171	0	0	0	1	0	0
375	P. Ratkov	Att	LAZ	3	1	114	0	0	0	0	0	0
376	TH. Helgason	Cen	LEC	3	0	35	0	0	0	0	0	0
377	V. Adzic	Cen	JUV	4	0	33	0	0	0	0	0	0
378	E. Akinsanmiro	Cen	PIS	2	1	104	0	0	0	1	0	0
379	P. Almqvist	Att	PAR	2	0	48	0	0	0	0	0	0
380	D. Frattesi	Cen	INT	3	0	52	0	0	0	0	0	0
381	Raul Albiol	Dif	PIS	2	1	107	0	0	0	0	0	0
382	D. Maldini	Cen	ATA	2	1	75	0	0	0	0	0	0
383	F. Vazquez	Cen	CRE	3	0	76	0	0	0	0	0	0
384	F. Coppola	Dif	PIS	4	3	271	0	0	0	3	0	0
385	L. Marianucci	Dif	NAP	1	0	28	0	0	1	0	0	0
386	D. Sommariva	Por	GEN	2	1	175	0	0	0	0	0	0
387	C. Immobile	Att	BOL	5	1	161	0	0	0	1	0	0
388	A. Lookman	Att	ATA	2	1	101	0	0	0	0	0	0
389	K. Sulemana	Att	ATA	4	0	68	0	0	0	1	0	0
390	P. Cutrone	Att	PAR	3	1	88	0	0	0	0	0	0
391	M. Djuric	Att	PAR	3	0	19	0	0	0	0	0	0
392	O. Kossounou	Dif	ATA	1	1	79	0	0	0	0	0	0
393	Tete Morente	Att	LEC	4	0	60	0	0	0	1	0	0
394	B. Cremaschi	Cen	PAR	3	0	13	0	0	0	0	0	0
395	I. Sulemana	Cen	CAG	3	0	56	0	0	0	1	0	0
396	A. Buksa	Att	UDI	3	0	34	0	0	0	0	0	0
397	F. Dele-Bashiru	Cen	LAZ	3	0	51	0	0	0	0	0	0
398	O. Provstgaard	Dif	LAZ	3	0	48	0	0	0	1	0	0
399	O. Gorter	Cen	LEC	2	0	27	0	0	0	0	0	0
400	L. Bailey	Att	ROM	2	0	28	0	0	0	0	0	0
401	G. Kastanos	Cen	VER	2	0	21	0	0	0	0	0	0
402	M. Collocolo	Cen	CRE	2	1	24	0	0	0	0	0	0
403	R. Vaz	Att	ROM	2	0	35	0	0	0	0	0	0
404	M. Perez	Dif	LEC	1	1	32	0	0	0	0	0	0
405	J. Bijlow	Por	GEN	1	1	90	0	0	0	0	0	0
406	F. Moumbagna	Att	CRE	4	0	74	0	0	0	0	0	0
407	B. Dia	Att	LAZ	1	1	64	0	0	0	0	0	1
408	F. Bernardeschi	Cen	BOL	1	0	9	0	0	0	0	0	0
409	Assane Diao	Att	COM	1	1	37	0	0	0	0	0	0
410	A. Richardson	Cen	FIO	1	0	29	0	0	0	0	0	0
411	J. Addai	Att	COM	1	1	65	0	0	0	1	0	0
412	M. Cornet	Cen	GEN	2	0	18	0	0	0	0	0	0
413	S. Lovric	Cen	UDI	2	0	51	0	0	0	0	0	0
414	A. Meret	Por	NAP	1	1	90	0	0	0	0	0	0
415	Oier Zarraga	Cen	UDI	3	0	25	0	0	0	0	0	0
416	A. Gronbaek	Cen	GEN	1	0	12	0	0	0	0	0	0
417	Alex Sala	Cen	LEC	2	0	15	0	0	0	0	0	0
418	H. Nicolussi	Cen	FIO	3	0	14	0	0	0	2	0	0
419	M. Berisha	Cen	LEC	1	1	11	0	0	0	0	0	0
420	E. Kouadio	Dif	FIO	1	0	4	0	0	0	0	0	0
421	S. Goglichidze	Dif	UDI	2	0	2	0	0	0	0	0	0
422	Isaac	Att	VER	1	0	19	0	0	0	0	0	0
423	R. Belghali	Dif	VER	1	1	90	0	0	0	1	0	0
424	Joao Mario	Dif	JUV	2	0	16	0	0	0	0	0	0
425	L. Pavoletti	Att	CAG	2	0	10	0	0	0	0	0	0
426	M. Perin	Por	JUV	1	1	90	0	0	0	0	0	0
427	G. Ambrosino	Att	NAP	1	0	4	0	0	0	0	0	0
428	I. Ilic	Cen	TOR	1	0	32	0	0	0	1	0	0
