ID,Giocatore,Posizione,Squadra,Partite giocate
478,Zortea,D,Bologna,19
479,Zè Pedro,D,Cagliari,9
480,Audero,P,Cremonese,21
481,Bijlow,P,Genoa,4
482,Butez,P,Como,24
483,Caprile,P,Cagliari,24
484,Carnesecchi,P,Atalanta,25
485,Corvi,P,Parma,13
486,De Gea,P,Fiorentina,25
487,Di Gregorio,P,Juventus,22
488,Falcone,P,Lecce,24
489,Israel,P,Torino,9
490,Leali,P,Genoa,20
491,Maignan,P,Milan,23
492,Martinez Jo.,P,Inter,2
493,Meret,P,Napoli,7
494,Milinkovic-Savic V.,P,Napoli,18
495,Montipò,P,Verona,22
496,Muric,P,Sassuolo,24
497,Nicolas,P,Pisa,1
498,Okoye,P,Udinese,17
499,Padelli,P,Udinese,2
500,Paleari,P,Torino,16
501,Perilli,P,Verona,3
502,Perin,P,Juventus,3
503,Pessina Mas.,P,Bologna,1
504,Provedel,P,Lazio,25
505,Ravaglia F.,P,Bologna,13
506,Rinaldi,P,Parma,1
507,Sava,P,Udinese,7
508,Scuffet,P,Pisa,7
509,Semper,P,Pisa,17
510,Silvestri,P,Cremonese,4
511,Skorupski,P,Bologna,12
512,Sommariva,P,Genoa,2
513,Sommer,P,Inter,23
514,Suzuki,P,Parma,11
515,Svilar,P,Roma,25
516,Terracciano,P,Milan,2
517,Turati,P,Sassuolo,1
