Team,Giocatore,Ruolo,Squadra,PrezzoAcquisto,PrezzoAttuale
Lunarossa,Aboukhlal,A,Tor,4,4
EquipoA,Milinkovic-Savic V.,P,Nap,4,4
EquipoA,De Gea,P,Fio,14,14
EquipoA,Martinelli T. *,P,Fio,1,1
EquipoA,Zappacosta,D,Ata,9,9
EquipoA,Rrahmani,D,Nap,7,7
EquipoA,Nkounkou,D,Tor,4,4
EquipoA,Dumfries,D,Int,20,20
EquipoA,Zemura,D,Udi,3,3
EquipoA,Palestra,D,Cag,4,4
EquipoA,Ramon,D,Com,5,5
EquipoA,Orsolini,C,Bol,30,30
EquipoA,Pulisic,C,Mil,28,28
EquipoA,Zerbin,C,Cre,3,3
EquipoA,Ilkhan,C,Tor,1,1
EquipoA,Ndour,C,Fio,2,2
EquipoA,Kaba,C,Lec,2,2
EquipoA,Paz N.,C,Com,21,21
EquipoA,Atta,C,Udi,6,6
EquipoA,Berardi,A,Sas,24,24
EquipoA,Martinez L.,A,Int,34,34
EquipoA,Leao,A,Mil,23,23
EquipoA,Cancellieri,A,Laz,3,3
EquipoA,Rodriguez Je.,A,Com,6,6
I COMPARI,Radunovic *,P,Cag,1,1
I COMPARI,Milinkovic-Savic V.,P,Nap,4,4
I COMPARI,Caprile,P,Cag,7,7
I COMPARI,Martin,D,Gen,10,10
I COMPARI,Bellanova,D,Ata,13,13
I COMPARI,Estupinan,D,Mil,6,6
I COMPARI,Terracciano F.,D,Cre,2,2
I COMPARI,Valeri,D,Par,10,10
I COMPARI,Dembelè A.,D,Tor,1,1
I COMPARI,Tiago Gabriel,D,Lec,2,2
I COMPARI,Barella,C,Int,14,14
I COMPARI,Pulisic,C,Mil,28,28
I COMPARI,McTominay,C,Nap,26,26
I COMPARI,Akpa Akpro,C,Ver,1,1
I COMPARI,Tramoni M.,C,Pis,12,12
I COMPARI,Kaba,C,Lec,1,1
I COMPARI,Adzic,C,Juv,1,1
I COMPARI,Paz N.,C,Com,20,20
I COMPARI,Pavoletti,A,Cag,2,2
I COMPARI,Martinez L.,A,Int,27,27
I COMPARI,Leao,A,Mil,26,26
I COMPARI,Soulè,A,Rom,20,20
I COMPARI,Giovane,A,Nap,1,1
SMOG,Perin,P,Juv,1,1
SMOG,Meret,P,Nap,16,16
SMOG,Milinkovic-Savic V.,P,Nap,4,4
SMOG,Martin,D,Gen,10,10
SMOG,Cambiaso,D,Juv,15,15
SMOG,Terracciano F.,D,Cre,2,2
SMOG,Ehizibue,D,Udi,4,4
SMOG,Delprato,D,Par,8,8
SMOG,Kempf,D,Com,5,5
SMOG,Canestrelli,D,Pis,3,3
SMOG,Politano,C,Nap,16,16
SMOG,Modric,C,Mil,12,12
SMOG,Odgaard,C,Bol,16,16
SMOG,Zaniolo,C,Udi,15,15
SMOG,Gudmundsson A.,C,Fio,24,24
SMOG,Marchwinski,C,Lec,1,1
SMOG,Paz N.,C,Com,20,20
SMOG,Tourè I.,C,Pis,6,6
SMOG,Kean,A,Fio,31,31
SMOG,Vlahovic,A,Juv,21,21
SMOG,Esposito Se.,A,Cag,7,7
SMOG,Giovane,A,Nap,3,3
SMOG,Kilicsoy,A,Cag,3,3
CLAN,Perin,P,Juv,1,1
CLAN,Silvestri,P,Cre,1,1
CLAN,Di Gregorio,P,Juv,16,16
CLAN,Cuadrado,D,Pis,7,7
CLAN,Lazaro,D,Tor,7,7
CLAN,Gutierrez,D,Nap,7,7
CLAN,Tavares N.,D,Laz,12,12
CLAN,Comuzzo,D,Fio,7,7
CLAN,Canestrelli,D,Pis,3,3
CLAN,Wesley,D,Rom,14,14
CLAN,Bernardeschi,C,Bol,9,9
CLAN,Zaccagni,C,Laz,26,26
CLAN,Modric,C,Mil,12,12
CLAN,Malinovskyi,C,Gen,7,7
CLAN,McTominay,C,Nap,26,26
CLAN,Zalewski,C,Ata,6,6
CLAN,Asllani,C,Tor,4,4
CLAN,Folorunsho,C,Cag,9,9
CLAN,Zapata D.,A,Tor,10,10
CLAN,Esposito Se.,A,Cag,7,7
CLAN,Lookman,A,Ata,19,19
CLAN,Thuram,A,Int,31,31
CLAN,Rodriguez Je.,A,Com,6,6
Evergreen,Lezzerini,P,Fio,1,1
Evergreen,Gollini,P,Rom,1,1
Evergreen,De Gea,P,Fio,14,14
Evergreen,Pezzella Giu.,D,Cre,6,6
Evergreen,Buongiorno,D,Nap,13,13
Evergreen,Dumfries,D,Int,20,20
Evergreen,Kossounou,D,Ata,9,9
Evergreen,Ostigard,D,Gen,9,9
Evergreen,Posch *,D,Com,7,7
Evergreen,Paz Y.,D,Sas,1,1
Evergreen,Politano,C,Nap,16,16
Evergreen,Zalewski,C,Ata,6,6
Evergreen,Harroui,C,Ver,7,7
Evergreen,Gudmundsson A.,C,Fio,17,17
Evergreen,Ilkhan,C,Tor,1,1
Evergreen,Paz N.,C,Com,20,20
Evergreen,Sucic P.,C,Int,9,9
Evergreen,Iannoni,C,Sas,1,1
Evergreen,Pavoletti,A,Cag,1,1
Evergreen,Vardy,A,Cre,19,19
Evergreen,Thuram,A,Int,31,31
Evergreen,Castro S.,A,Bol,24,24
Evergreen,Ekhator,A,Gen,1,1
Sciabolata Classica,Perin,P,Juv,1,1
Sciabolata Classica,Gollini,P,Rom,1,1
Sciabolata Classica,Svilar,P,Rom,15,15
Sciabolata Classica,Martin,D,Gen,10,10
Sciabolata Classica,Bellanova,D,Ata,13,13
Sciabolata Classica,Cambiaso,D,Juv,15,15
Sciabolata Classica,Tavares N.,D,Laz,12,12
Sciabolata Classica,Veiga D.,D,Lec,1,1
Sciabolata Classica,Vitik,D,Bol,8,8
Sciabolata Classica,Angori,D,Pis,5,5
Sciabolata Classica,Hernani *,C,Par,3,3
Sciabolata Classica,McTominay,C,Nap,26,26
Sciabolata Classica,Vlasic,C,Tor,15,15
Sciabolata Classica,Asllani,C,Tor,4,4
Sciabolata Classica,Gudmundsson A.,C,Fio,17,17
Sciabolata Classica,Paz N.,C,Com,21,21
Sciabolata Classica,Atta,C,Udi,8,8
Sciabolata Classica,Stanciu *,C,Gen,8,8
Sciabolata Classica,Berardi,A,Sas,21,21
Sciabolata Classica,Zapata D.,A,Tor,10,10
Sciabolata Classica,Kean,A,Fio,33,33
Sciabolata Classica,Vlahovic,A,Juv,21,21
Sciabolata Classica,Benedyczak,A,Par,1,1
Malmö FF,Perin,P,Juv,1,1
Malmö FF,Pinsoglio,P,Juv,1,1
Malmö FF,Di Gregorio,P,Juv,16,16
Malmö FF,Buongiorno,D,Nap,13,13
Malmö FF,Bellanova,D,Ata,13,13
Malmö FF,De Winter,D,Mil,8,8
Malmö FF,Terracciano F.,D,Cre,5,5
Malmö FF,Gila,D,Laz,9,9
Malmö FF,Comuzzo,D,Fio,8,8
Malmö FF,Wesley,D,Rom,14,14
Malmö FF,Modric,C,Mil,12,12
Malmö FF,McTominay,C,Nap,26,26
Malmö FF,Coulibaly L.,C,Lec,7,7
Malmö FF,El Aynaoui,C,Rom,9,9
Malmö FF,Pierret,C,Lec,6,6
Malmö FF,Bernabè,C,Par,11,11
Malmö FF,Ekkelenkamp,C,Udi,10,10
Malmö FF,Sucic P.,C,Int,9,9
Malmö FF,Berardi,A,Sas,21,21
Malmö FF,Martinez L.,A,Int,27,27
Malmö FF,Esposito Se.,A,Cag,7,7
Malmö FF,Ekuban,A,Gen,8,8
Malmö FF,Bonny,A,Int,16,16
Giubbentus,Milinkovic-Savic V.,P,Nap,4,4
Giubbentus,Terracciano,P,Mil,1,1
Giubbentus,Maignan,P,Mil,16,16
Giubbentus,Obert,D,Cag,4,4
Giubbentus,Cabal,D,Juv,4,4
Giubbentus,Norton-Cuffy,D,Gen,3,3
Giubbentus,Tiago Gabriel,D,Lec,1,1
Giubbentus,Veiga D.,D,Lec,2,2
Giubbentus,Smolcic I.,D,Com,3,3
Giubbentus,Canestrelli,D,Pis,3,3
Giubbentus,Politano,C,Nap,16,16
Giubbentus,Zaccagni,C,Laz,26,26
Giubbentus,Pulisic,C,Mil,28,28
Giubbentus,Akpa Akpro,C,Ver,3,3
Giubbentus,Aebischer,C,Pis,4,4
Giubbentus,Folorunsho,C,Cag,8,8
Giubbentus,Isaksen,C,Laz,14,14
Giubbentus,Prati,C,Cag,3,3
Giubbentus,Scamacca,A,Ata,19,19
Giubbentus,Martinez L.,A,Int,34,34
Giubbentus,Thuram,A,Int,31,31
Giubbentus,Meister,A,Pis,2,2
Giubbentus,Stulic,A,Lec,8,8
Tana delle Tigri,Sportiello,P,Ata,1,1
Tana delle Tigri,Perin,P,Juv,1,1
Tana delle Tigri,Carnesecchi,P,Ata,14,14
Tana delle Tigri,Martin,D,Gen,10,10
Tana delle Tigri,Bellanova,D,Ata,13,13
Tana delle Tigri,Pavlovic,D,Mil,17,17
Tana delle Tigri,Barbieri,D,Cre,3,3
Tana delle Tigri,Solet,D,Udi,11,11
Tana delle Tigri,Tiago Gabriel,D,Lec,1,1
