Team,Giocatore,Ruolo,Squadra,PrezzoAcquisto,PrezzoAttuale
Sciabolata Classica,Veiga D.,D,Lecce,1,5
Sciabolata Classica,Angori,D,Pisa,5,9
Sciabolata Classica,Zè Pedro,D,Cagliari,3,2
Sciabolata Classica,Zielinski,C,Inter,22,19
Sciabolata Classica,McTominay,C,Napoli,26,25
Sciabolata Classica,Stengs,C,Pisa,1,1
Sciabolata Classica,Vlasic,C,Torino,15,18
Sciabolata Classica,Paz N.,C,Como,21,30
Sciabolata Classica,Hojholt,C,Pisa,1,2
Sciabolata Classica,Vergara,C,Napoli,6,2
Sciabolata Classica,Sala A.,C,Lecce,1,1
Sciabolata Classica,Berardi,A,Sassuolo,21,21
Sciabolata Classica,Zapata D.,A,Torino,10,7
Sciabolata Classica,Kean,A,Fiorentina,33,18
Sciabolata Classica,David,A,Juventus,15,13
Sciabolata Classica,Hojlund,A,Napoli,24,25
Malmö FF,Perin,P,Juventus,1,3
Malmö FF,Pinsoglio,P,Juventus,1,1
Malmö FF,Di Gregorio,P,Juventus,16,16
Malmö FF,Buongiorno,D,Napoli,13,10
Malmö FF,Bellanova,D,Atalanta,13,6
Malmö FF,De Winter,D,Milan,8,4
Malmö FF,Terracciano F.,D,Cremonese,5,11
Malmö FF,Gila,D,Lazio,9,8
Malmö FF,Comuzzo,D,Fiorentina,8,7
Malmö FF,Wesley,D,Roma,14,16
Malmö FF,Modric,C,Milan,12,19
Malmö FF,Malinovskyi,C,Genoa,15,12
Malmö FF,McTominay,C,Napoli,26,25
Malmö FF,Coulibaly L.,C,Lecce,7,13
Malmö FF,El Aynaoui,C,Roma,9,5
Malmö FF,Ekkelenkamp,C,Udinese,10,12
Malmö FF,Sucic P.,C,Inter,9,11
Malmö FF,Sala A.,C,Lecce,1,1
Malmö FF,Berardi,A,Sassuolo,21,21
Malmö FF,Martinez L.,A,Inter,27,34
Malmö FF,Esposito Se.,A,Cagliari,7,16
Malmö FF,Ekuban,A,Genoa,8,9
Malmö FF,Bonny,A,Inter,16,14
Giubbentus,Milinkovic-Savic V.,P,Napoli,4,19
Giubbentus,Terracciano,P,Milan,1,1
Giubbentus,Maignan,P,Milan,16,20
Giubbentus,Obert,D,Cagliari,4,5
Giubbentus,Cabal,D,Juventus,4,9
Giubbentus,Norton-Cuffy,D,Genoa,3,7
Giubbentus,Tiago Gabriel,D,Lecce,1,9
Giubbentus,Veiga D.,D,Lecce,2,5
Giubbentus,Smolcic I.,D,Como,3,3
Giubbentus,Canestrelli,D,Pisa,3,5
Giubbentus,Politano,C,Napoli,16,11
Giubbentus,Zaccagni,C,Lazio,26,14
Giubbentus,Pulisic,C,Milan,28,31
Giubbentus,Akpa Akpro,C,Verona,3,2
Giubbentus,Aebischer,C,Pisa,4,5
Giubbentus,Folorunsho,C,Cagliari,8,8
Giubbentus,Isaksen,C,Lazio,14,14
Giubbentus,Prati,C,Cagliari,3,6
Giubbentus,Scamacca,A,Atalanta,19,22
Giubbentus,Martinez L.,A,Inter,34,34
Giubbentus,Thuram,A,Inter,31,29
Giubbentus,Meister,A,Pisa,2,8
Giubbentus,Stulic,A,Lecce,8,8
Tana delle Tigri,Sportiello,P,Atalanta,1,1
Tana delle Tigri,Perin,P,Juventus,1,3
Tana delle Tigri,Carnesecchi,P,Atalanta,14,17
Tana delle Tigri,Martin,D,Genoa,10,14
Tana delle Tigri,Bellanova,D,Atalanta,13,6
Tana delle Tigri,Pavlovic,D,Milan,17,15
Tana delle Tigri,Barbieri,D,Cremonese,3,9
Tana delle Tigri,Solet,D,Udinese,11,11
Tana delle Tigri,Tiago Gabriel,D,Lecce,1,9
Tana delle Tigri,Angori,D,Pisa,5,9
Tana delle Tigri,Zaccagni,C,Lazio,26,14
Tana delle Tigri,Pulisic,C,Milan,28,31
Tana delle Tigri,McTominay,C,Napoli,26,25
Tana delle Tigri,Zerbin,C,Cremonese,3,6
Tana delle Tigri,Ilkhan,C,Torino,1,2
Tana delle Tigri,Berisha M.,C,Lecce,3,13
Tana delle Tigri,Kaba *,C,Lecce,1,3
Tana delle Tigri,Atta,C,Udinese,6,16
Tana delle Tigri,Bonazzoli,A,Cremonese,1,20
Tana delle Tigri,Berardi,A,Sassuolo,24,21
Tana delle Tigri,Martinez L.,A,Inter,34,34
Tana delle Tigri,Leao,A,Milan,19,30
Tana delle Tigri,Giovane,A,Napoli,1,17
puerto rosso blu,Skorupski,P,Bologna,10,10
puerto rosso blu,Ravaglia F.,P,Bologna,3,12
puerto rosso blu,Pessina Mas.,P,Bologna,1,1
