round,fantateam,module,portiere,difensori,centrocampisti,attaccanti,panchina,capitano,vice_capitano,base_total,mod_difesa,mod_capitano,predicted_total
25,DonBosko46,3-5-2,Martinez Jo.,Vojvoda;Mancini;Bellanova,Pulisic;McTominay;Orsolini;Saelemaekers;Vergara,Martinez L.;Hojlund,Sommer;Berisha M.;De Ketelaere;Iannoni;Vlahovic;Cambiaso;Tiago Gabriel,Martinez L.,Hojlund,80.22,0.0,0.0,80.22
25,Due Amici al Var,3-4-3,Di Gregorio,Wesley;Tomori;Lazaro,Paz N.;McTominay;Zaniolo;Orsolini,Malen;Martinez L.;Kean,Perin;David;Prati;Diouf;Gineitis;Tiago Gabriel;Lazzari,Malen,Martinez L.,81.19,0.0,0.0,81.19
25,EquipoA,4-3-3,Milinkovic-Savic V.,Palestra;Ramon;Rrahmani;Dumfries,Pulisic;Paz N.;Orsolini,Malen;Martinez L.;Berardi,Martinez Jo.;Yildiz;Rodriguez Je.;Zaccagni;Zappacosta;Zerbin;Bellanova,Pulisic,Orsolini,85.44,1.0,0.0,86.44
25,Evergreen,4-5-1,De Gea,Dimarco;Palestra;Ostigard;Buongiorno,Zielinski;Sucic P.;Zalewski;Politano;Iannoni,David,Lezzerini;Kossounou;Gudmundsson A.;Hermoso;Ilkhan;Ekhator;Zapata D.,David,Dimarco,74.72,1.0,0.0,75.72
25,F.C Pennic Hellas,3-4-3,Milinkovic-Savic V.,Dimarco;Valle;Norton-Cuffy,Zaniolo;Atta;Vlasic;Basic,Martinez L.;Hojlund;Esposito F.P.,Caprile;Giovane;Zaccagni;David;Ederson D.S.;Adopo;Muharemovic,Martinez L.,Dimarco,82.17,0.0,0.0,82.17
25,FC Buttarighe,3-4-3,Terracciano,Mina;Kalulu;Delprato,Pulisic;Paz N.;Zielinski;McTominay,Malen;Martinez L.;Esposito F.P.,De Gea;Modric;Rodriguez Je.;Zalewski;Boga;Norton-Cuffy;El Shaarawy,Martinez L.,Malen,86.31,0.0,0.0,86.31
25,FC Galli,3-4-3,Svilar,Akanji;Kalulu;Kristensen T.,Pulisic;Zielinski;Malinovskyi;Basic,Martinez L.;Leao;Hojlund,Scuffet;Pedro;Folorunsho;Pasalic;Bellanova;Juan Jesus;Lazzari,Martinez L.,Zielinski,81.23,0.0,0.0,81.23
25,FC Plasmon,3-4-3,Provedel,Dimarco;Martin;Miranda J.,Pulisic;Paz N.;Malinovskyi;Zerbin,Malen;Martinez L.;Kean,Perin;David;Cambiaso;Tiago Gabriel;Dodò;Maldini;Angelino,Martinez L.,Malen,82.93,0.0,0.0,82.93
25,FC Spiaze,3-4-3,Di Gregorio,Dimarco;Palestra;Beukema,Pulisic;Paz N.;Vergara;Ricci S.,Martinez L.;Hojlund;Rodriguez Je.,Perin;De Ketelaere;Iannoni;Leris;Norton-Cuffy;Diouf;Bernede,Martinez L.,Dimarco,83.41,0.0,0.0,83.41
25,Fc Cortomuso,3-4-3,Milinkovic-Savic V.,Palestra;Pavlovic;Martin,Pulisic;Paz N.;McTominay;Orsolini,Malen;Martinez L.;Leao,Meret;Malinovskyi;Kean;Bellanova;Ilkhan;Tiago Gabriel;Ahanor,Martinez L.,Malen,87.17,0.0,0.0,87.17
25,Fc nipiri,4-3-3,Milinkovic-Savic V.,Solet;Di Lorenzo;Akanji;Scalvini,Paz N.;Orsolini;Karlstrom,Bonny;Berardi;David,Meret;Thuram K.;Gineitis;Gosens;Pavoletti;Doig;Liteta,Paz N.,Orsolini,78.21,1.0,0.0,79.21
25,Giubbentus,3-5-2,Maignan,Obert;Norton-Cuffy;Smolcic I.,Pulisic;Zaniolo;McKennie;Zaccagni;Folorunsho,Martinez L.;Scamacca,Milinkovic-Savic V.;Vlahovic;David;Prati;Tiago Gabriel;Aebischer;Stulic,Martinez L.,Scamacca,77.62,0.0,0.0,77.62
25,HeineKean,3-4-3,Svilar,Ramon;Obert;Bellanova,McTominay;Loftus-Cheek;Vergara;Conceicao,Thuram;Hojlund;David,Vasquez D. *;Prati;Gudmundsson A.;Cambiaso;Angori;Tiago Gabriel;Fagioli,Thuram,David,76.34,0.0,0.0,76.34
25,Hellas merdona,3-4-3,De Gea,Dumfries;Terracciano F.;Mancini,Pulisic;Paz N.;Malinovskyi;Adopo,Malen;Martinez L.;Leao,Lezzerini;Kilicsoy;Bondo;Elmas;Marusic;Norton-Cuffy;Ilkhan,Martinez L.,Paz N.,81.0,0.0,0.0,81.0
25,I COMPARI,3-4-3,Caprile,Solet;Valeri;Martin,Pulisic;Baturina;Paz N.;McTominay,Malen;Martinez L.;Leao,Scuffet;Soulè;Vergara;Adzic;Terracciano F.;Bellanova;Tiago Gabriel,Martinez L.,McTominay,86.28,0.0,0.0,86.28
25,I Cigni,3-4-3,Martinez Jo.,Valle;Valeri;Hermoso,Baturina;Isaksen;Vergara;Politano,Malen;Martinez L.;Berardi,Sommer;Folorunsho;Rowe;Almqvist;Norton-Cuffy;Tramoni M.;Zapata D.,Martinez L.,Malen,80.99,0.0,0.0,80.99
