Team,Giocatore,Ruolo,Squadra,Tier,Weight,ScoreAuto,PrezzoAttuale,ForzaGiocatore,Source
Mapoitta,Martinez Jo.,P,Inter,scommessa,0.352,0.457,1.0,43.07,tier
Mapoitta,Ekhator,A,Genoa,scommessa,0.426,0.338,10.0,36.00,tier
Mapoitta,Boga,A,Juv,scommessa,0.272,0.345,6.0,32.67,tier
Mapoitta,Akpa Akpro,C,Verona,low,0.296,0.253,2.0,26.38,tier
Mapoitta,Marchwinski,C,Lecce,low,0.281,0.196,1.0,21.73,tier
coach 71,Maignan,P,Milan,top,0.877,0.844,20.0,85.22,tier
coach 71,Zielinski,C,Inter,top,0.800,0.819,19.0,81.42,tier
coach 71,Paz N.,C,Como,top,0.839,0.783,30.0,79.70,tier
coach 71,Hojlund,A,Napoli,top,0.799,0.776,25.0,78.18,tier
coach 71,Milinkovic-Savic V.,P,Napoli,semitop,0.780,0.749,19.0,75.67,tier
coach 71,Malen,A,Roma,semitop,0.920,0.652,15.0,71.90,tier
coach 71,Nkunku,A,Milan,semitop,0.725,0.700,17.0,70.62,tier
coach 71,Zaniolo,C,Udinese,semitop,0.715,0.682,20.0,69.03,tier
coach 71,Malinovskyi,C,Genoa,semitop,0.724,0.640,12.0,66.10,tier
coach 71,Giovane,A,Napoli,starter,0.714,0.612,17.0,63.75,tier
coach 71,Kean,A,Fiorentina,starter,0.697,0.603,18.0,62.65,tier
coach 71,Dumfries,D,Inter,semitop,0.537,0.568,10.0,56.02,tier
coach 71,Terracciano F.,D,Cremonese,starter,0.643,0.520,11.0,55.08,tier
coach 71,Norton-Cuffy,D,Genoa,starter,0.618,0.500,7.0,52.95,tier
coach 71,Miranda J.,D,Bologna,starter,0.594,0.485,11.0,51.23,tier
coach 71,N'Dicka,D,Roma,starter,0.581,0.489,7.0,51.20,tier
coach 71,Tiago Gabriel,D,Lecce,starter,0.602,0.461,9.0,49.62,tier
coach 71,Terracciano,P,Milan,scommessa,0.340,0.439,1.0,41.42,tier
coach 71,Adopo,C,Cagliari,scommessa,0.529,0.353,6.0,39.70,tier
coach 71,Caracciolo A.,D,Pisa,scommessa,0.507,0.346,6.0,38.62,tier
coach 71,Zaragoza,C,Rom,scommessa,0.257,0.325,7.0,30.80,tier
coach 71,Ilkhan,C,Torino,scommessa,0.316,0.296,2.0,30.10,tier
coach 71,Akpa Akpro,C,Verona,low,0.296,0.253,2.0,26.38,tier
Sarzanello Team,Martinez L.,A,Inter,top,0.940,0.917,34.0,92.28,tier
Sarzanello Team,Maignan,P,Milan,top,0.877,0.844,20.0,85.22,tier
Sarzanello Team,Yildiz,A,Juventus,top,0.863,0.818,30.0,82.92,tier
Sarzanello Team,Paz N.,C,Como,top,0.839,0.783,30.0,79.70,tier
Sarzanello Team,Esposito F.P.,A,Inter,semitop,0.762,0.763,18.0,76.28,tier
Sarzanello Team,Wesley,D,Roma,top,0.781,0.711,16.0,72.85,tier
Sarzanello Team,Atta,C,Udinese,semitop,0.735,0.710,16.0,71.62,tier
Sarzanello Team,Martin,D,Genoa,semitop,0.680,0.618,14.0,63.35,tier
Sarzanello Team,Pasalic,C,Atalanta,starter,0.677,0.617,13.0,63.20,tier
Sarzanello Team,Scalvini,D,Atalanta,semitop,0.604,0.640,12.0,63.10,tier
Sarzanello Team,Sucic P.,C,Inter,starter,0.644,0.603,11.0,61.32,tier
Sarzanello Team,Ekkelenkamp,C,Udinese,starter,0.657,0.585,12.0,60.30,tier
Sarzanello Team,Esposito Se.,A,Cagliari,starter,0.674,0.563,16.0,59.08,tier
Sarzanello Team,Angori,D,Pisa,starter,0.601,0.493,9.0,52.00,tier
Sarzanello Team,Miranda J.,D,Bologna,starter,0.594,0.485,11.0,51.23,tier
Sarzanello Team,Barbieri,D,Cremonese,starter,0.536,0.465,9.0,48.27,tier
Sarzanello Team,Casadei,C,Torino,starter,0.573,0.447,7.0,47.85,tier
Sarzanello Team,Terracciano,P,Milan,scommessa,0.340,0.439,1.0,41.42,tier
Sarzanello Team,Adopo,C,Cagliari,scommessa,0.529,0.353,6.0,39.70,tier
Sarzanello Team,Joao Mario,D,Juventus,scommessa,0.329,0.341,2.0,33.80,tier
Sarzanello Team,Sergi Roberto,C,Como,scommessa,0.285,0.275,3.0,27.75,tier
Sarzanello Team,Torriani,P,Milan,scommessa,0.317,0.246,1.0,26.38,tier
Sarzanello Team,Zapata D.,A,Torino,scommessa,0.328,0.228,7.0,25.30,tier
LosPollosHermanos,Dimarco,D,Inter,top,0.924,0.911,29.0,91.42,tier
LosPollosHermanos,Maignan,P,Milan,top,0.877,0.844,20.0,85.22,tier
LosPollosHermanos,McTominay,C,Napoli,top,0.865,0.829,25.0,83.80,tier
LosPollosHermanos,Zielinski,C,Inter,top,0.800,0.819,19.0,81.42,tier
LosPollosHermanos,McKennie,C,Juventus,top,0.800,0.762,14.0,77.15,tier
LosPollosHermanos,Malen,A,Roma,semitop,0.920,0.652,15.0,71.90,tier
LosPollosHermanos,Atta,C,Udinese,semitop,0.735,0.710,16.0,71.62,tier
LosPollosHermanos,Orsolini,C,Bologna,semitop,0.739,0.661,24.0,68.05,tier
LosPollosHermanos,Ekkelenkamp,C,Udinese,starter,0.657,0.585,12.0,60.30,tier
LosPollosHermanos,Pinamonti,A,Sassuolo,starter,0.688,0.574,14.0,60.25,tier
LosPollosHermanos,Raspadori,A,Atalanta,starter,0.920,0.473,15.0,58.48,tier
LosPollosHermanos,Dumfries,D,Inter,semitop,0.537,0.568,10.0,56.02,tier
LosPollosHermanos,Delprato,D,Parma,starter,0.652,0.525,9.0,55.68,tier
LosPollosHermanos,Bellanova,D,Atalanta,starter,0.533,0.507,6.0,51.35,tier
LosPollosHermanos,Lazaro,D,Torino,starter,0.598,0.449,7.0,48.62,tier
LosPollosHermanos,El Shaarawy,C,Roma,scommessa,0.470,0.479,8.0,47.67,tier
LosPollosHermanos,Bernardeschi,C,Bologna,starter,0.478,0.431,5.0,44.27,tier
LosPollosHermanos,Terracciano,P,Milan,scommessa,0.340,0.439,1.0,41.42,tier
LosPollosHermanos,Smolcic I.,D,Como,scommessa,0.456,0.377,3.0,39.67,tier
LosPollosHermanos,Meister,A,Pisa,scommessa,0.454,0.315,8.0,34.98,tier
LosPollosHermanos,Joao Mario,D,Juventus,scommessa,0.329,0.341,2.0,33.80,tier
LosPollosHermanos,Boga,A,Juv,scommessa,0.272,0.345,6.0,32.67,tier
LosPollosHermanos,Torriani,P,Milan,scommessa,0.317,0.246,1.0,26.38,tier
SerSi-FC,McTominay,C,Napoli,top,0.865,0.829,25.0,83.80,tier
SerSi-FC,Pulisic,C,Milan,top,0.783,0.839,31.0,82.50,tier
SerSi-FC,Paz N.,C,Como,top,0.839,0.783,30.0,79.70,tier
SerSi-FC,Hojlund,A,Napoli,top,0.799,0.776,25.0,78.18,tier
SerSi-FC,Rabiot,C,Milan,top,0.759,0.772,23.0,76.88,tier
SerSi-FC,Palestra,D,Cagliari,top,0.811,0.753,15.0,76.75,tier
SerSi-FC,Douvikas,A,Como,semitop,0.804,0.751,21.0,76.43,tier
SerSi-FC,Atta,C,Udinese,semitop,0.735,0.710,16.0,71.62,tier
SerSi-FC,Scamacca,A,Atalanta,semitop,0.699,0.716,22.0,71.17,tier
SerSi-FC,Sommer,P,Inter,semitop,0.742,0.657,14.0,67.83,tier
SerSi-FC,Malinovskyi,C,Genoa,semitop,0.724,0.640,12.0,66.10,tier
SerSi-FC,Martin,D,Genoa,semitop,0.680,0.618,14.0,63.35,tier
SerSi-FC,Valle,D,Como,semitop,0.663,0.614,8.0,62.62,tier
SerSi-FC,Cambiaso,D,Juventus,semitop,0.679,0.585,10.0,60.85,tier
SerSi-FC,Ostigard,D,Genoa,semitop,0.635,0.586,15.0,59.82,tier
SerSi-FC,Tomori,D,Milan,starter,0.630,0.543,7.0,56.47,tier
SerSi-FC,Martinez Jo.,P,Inter,scommessa,0.352,0.457,1.0,43.07,tier
SerSi-FC,Adopo,C,Cagliari,scommessa,0.529,0.353,6.0,39.70,tier
SerSi-FC,Maldini,C,Atalanta,scommessa,0.360,0.351,3.0,35.32,tier
SerSi-FC,Di Gennaro,P,Inter,scommessa,0.315,0.243,1.0,26.10,tier
SerSi-FC,Stojilkovic,A,Pis,scommessa,0.550,0.142,4.0,24.40,tier
SerSi-FC,Gueye,A,Udinese,low,0.176,0.145,2.0,15.28,tier
SerSi-FC,Esteves T. *,D,Pisa,low,0.000,0.000,1.0,1.50,fallback_price
Plu-Team,Martinez L.,A,Inter,top,0.940,0.917,34.0,92.28,tier
Plu-Team,Pulisic,C,Milan,top,0.783,0.839,31.0,82.50,tier
Plu-Team,Paz N.,C,Como,top,0.839,0.783,30.0,79.70,tier
Plu-Team,Bonny,A,Inter,top,0.738,0.807,14.0,78.98,tier
Plu-Team,Esposito F.P.,A,Inter,semitop,0.762,0.763,18.0,76.28,tier
Plu-Team,Saelemaekers,C,Milan,top,0.781,0.719,19.0,73.45,tier
Plu-Team,Wesley,D,Roma,top,0.781,0.711,16.0,72.85,tier
Plu-Team,Di Gregorio,P,Juventus,semitop,0.743,0.667,16.0,68.60,tier
Plu-Team,Orsolini,C,Bologna,semitop,0.739,0.661,24.0,68.05,tier
Plu-Team,Bartesaghi,D,Milan,semitop,0.710,0.670,13.0,68.00,tier
Plu-Team,Da Cunha,C,Como,semitop,0.703,0.626,11.0,64.53,tier
Plu-Team,Martin,D,Genoa,semitop,0.680,0.618,14.0,63.35,tier
Plu-Team,Bernasconi,D,Atalanta,semitop,0.594,0.592,7.0,59.25,tier
Plu-Team,Gosens,D,Fiorentina,starter,0.548,0.512,10.0,52.10,tier
Plu-Team,Bellanova,D,Atalanta,starter,0.533,0.507,6.0,51.35,tier
Plu-Team,Adzic,C,Juventus,scommessa,0.378,0.462,3.0,44.10,tier
Plu-Team,Frese,D,Verona,starter,0.499,0.392,6.0,41.88,tier
Plu-Team,Zerbin,C,Cremonese,starter,0.498,0.385,6.0,41.33,tier
Plu-Team,Niasse,C,Verona,scommessa,0.424,0.350,4.0,36.85,tier
Plu-Team,Scuffet,P,Pisa,scommessa,0.308,0.293,4.0,29.68,tier
Plu-Team,Perin,P,Juventus,scommessa,0.255,0.304,3.0,29.17,tier
Plu-Team,Elphege,A,Par,low,0.450,0.200,1.0,26.25,tier
Plu-Team,Moro L.,A,Sassuolo,low,0.167,0.152,1.0,15.57,tier
FC Buttarighe,Martinez L.,A,Inter,top,0.940,0.917,34.0,92.28,tier
FC Buttarighe,McTominay,C,Napoli,top,0.865,0.829,25.0,83.80,tier
FC Buttarighe,Pulisic,C,Milan,top,0.783,0.839,31.0,82.50,tier
FC Buttarighe,Zielinski,C,Inter,top,0.800,0.819,19.0,81.42,tier
FC Buttarighe,Modric,C,Milan,top,0.831,0.788,19.0,79.88,tier
FC Buttarighe,Paz N.,C,Como,top,0.839,0.783,30.0,79.70,tier
FC Buttarighe,Kalulu,D,Juventus,top,0.820,0.749,12.0,76.67,tier
FC Buttarighe,Esposito F.P.,A,Inter,semitop,0.762,0.763,18.0,76.28,tier
FC Buttarighe,Malen,A,Roma,semitop,0.920,0.652,15.0,71.90,tier
FC Buttarighe,Zalewski,C,Atalanta,semitop,0.730,0.690,15.0,70.00,tier
FC Buttarighe,De Gea,P,Fiorentina,semitop,0.658,0.525,11.0,55.83,tier
FC Buttarighe,Delprato,D,Parma,starter,0.652,0.525,9.0,55.68,tier
FC Buttarighe,Norton-Cuffy,D,Genoa,starter,0.618,0.500,7.0,52.95,tier
FC Buttarighe,Mina,D,Cagliari,starter,0.539,0.505,8.0,51.35,tier
FC Buttarighe,Dodò,D,Fiorentina,starter,0.621,0.474,6.0,51.08,tier
FC Buttarighe,Rodriguez Je.,A,Como,starter,0.573,0.463,12.0,49.05,tier
FC Buttarighe,El Shaarawy,C,Roma,scommessa,0.470,0.479,8.0,47.67,tier
FC Buttarighe,Terracciano,P,Milan,scommessa,0.340,0.439,1.0,41.42,tier
FC Buttarighe,Boga,A,Juv,scommessa,0.272,0.345,6.0,32.67,tier
FC Buttarighe,Van Der Brempt,D,Como,scommessa,0.307,0.324,3.0,31.97,tier
FC Buttarighe,Lezzerini,P,Fiorentina,low,0.261,0.168,1.0,19.12,tier
FC Buttarighe,Hojholt,C,Pisa,low,0.192,0.171,2.0,17.62,tier
FC Buttarighe,Coppola F.,D,Pisa,low,0.131,0.135,2.0,13.40,tier
I COMPARI,Martinez L.,A,Inter,top,0.940,0.917,34.0,92.28,tier
I COMPARI,McTominay,C,Napoli,top,0.865,0.829,25.0,83.80,tier
I COMPARI,Pulisic,C,Milan,top,0.783,0.839,31.0,82.50,tier
I COMPARI,Paz N.,C,Como,top,0.839,0.783,30.0,79.70,tier
I COMPARI,Leao,A,Milan,top,0.802,0.788,30.0,79.15,tier
I COMPARI,Soulè,A,Roma,semitop,0.803,0.734,26.0,75.12,tier
I COMPARI,Baturina,C,Como,top,0.690,0.768,14.0,74.85,tier
I COMPARI,Malen,A,Roma,semitop,0.920,0.652,15.0,71.90,tier
I COMPARI,Solet,D,Udinese,semitop,0.753,0.657,11.0,68.10,tier
I COMPARI,Martin,D,Genoa,semitop,0.680,0.618,14.0,63.35,tier
I COMPARI,Caprile,P,Cagliari,semitop,0.695,0.585,12.0,61.25,tier
I COMPARI,Terracciano F.,D,Cremonese,starter,0.643,0.520,11.0,55.08,tier
I COMPARI,Valeri,D,Parma,starter,0.613,0.518,10.0,54.17,tier
I COMPARI,Bellanova,D,Atalanta,starter,0.533,0.507,6.0,51.35,tier
I COMPARI,Dodò,D,Fiorentina,starter,0.621,0.474,6.0,51.08,tier
I COMPARI,Tiago Gabriel,D,Lecce,starter,0.602,0.461,9.0,49.62,tier
I COMPARI,Adzic,C,Juventus,scommessa,0.378,0.462,3.0,44.10,tier
I COMPARI,Vergara,C,Napoli,scommessa,0.388,0.457,2.0,43.97,tier
I COMPARI,Zaragoza,C,Rom,scommessa,0.257,0.325,7.0,30.80,tier
I COMPARI,Scuffet,P,Pisa,scommessa,0.308,0.293,4.0,29.68,tier
I COMPARI,Akpa Akpro,C,Verona,low,0.296,0.253,2.0,26.38,tier
I COMPARI,Ciocci,P,Cagliari,low,0.278,0.191,1.0,21.27,tier
I COMPARI,Pavoletti,A,Cagliari,low,0.171,0.172,1.0,17.18,tier
XLiverpuh,Martinez L.,A,Inter,top,0.940,0.917,34.0,92.28,tier
XLiverpuh,Yildiz,A,Juventus,top,0.863,0.818,30.0,82.92,tier
XLiverpuh,Svilar,P,Roma,top,0.868,0.816,19.0,82.90,tier
XLiverpuh,Pulisic,C,Milan,top,0.783,0.839,31.0,82.50,tier
XLiverpuh,Zielinski,C,Inter,top,0.800,0.819,19.0,81.42,tier
XLiverpuh,Paz N.,C,Como,top,0.839,0.783,30.0,79.70,tier
XLiverpuh,Hojlund,A,Napoli,top,0.799,0.776,25.0,78.18,tier
XLiverpuh,Palestra,D,Cagliari,top,0.811,0.753,15.0,76.75,tier
XLiverpuh,Atta,C,Udinese,semitop,0.735,0.710,16.0,71.62,tier
XLiverpuh,Kempf,D,Como,top,0.701,0.701,14.0,70.10,tier
XLiverpuh,Zaniolo,C,Udinese,semitop,0.715,0.682,20.0,69.03,tier
XLiverpuh,Valle,D,Como,semitop,0.663,0.614,8.0,62.62,tier
XLiverpuh,Kilicsoy,A,Cagliari,starter,0.580,0.628,12.0,61.60,tier
XLiverpuh,Terracciano F.,D,Cremonese,starter,0.643,0.520,11.0,55.08,tier
XLiverpuh,Gutierrez,D,Napoli,scommessa,0.470,0.490,3.0,48.50,tier
XLiverpuh,Prati,C,Cagliari,scommessa,0.486,0.342,6.0,37.80,tier
XLiverpuh,Pezzella Giu.,D,Cremonese,scommessa,0.455,0.336,4.0,36.58,tier
XLiverpuh,Dia,A,Lazio,scommessa,0.407,0.297,5.0,32.45,tier
XLiverpuh,Lykogiannis,D,Bologna,scommessa,0.311,0.295,2.0,29.90,tier
XLiverpuh,Zelezny,P,Roma,scommessa,0.311,0.238,1.0,25.62,tier
XLiverpuh,Marchwinski,C,Lecce,low,0.281,0.196,1.0,21.73,tier
XLiverpuh,Zarraga,C,Udinese,low,0.199,0.199,2.0,19.90,tier
XLiverpuh,Vasquez D. *,P,Roma,low,0.000,0.000,1.0,1.50,fallback_price
pacho team,Martinez L.,A,Inter,top,0.940,0.917,34.0,92.28,tier
pacho team,Yildiz,A,Juventus,top,0.863,0.818,30.0,82.92,tier
pacho team,Paz N.,C,Como,top,0.839,0.783,30.0,79.70,tier
pacho team,Hojlund,A,Napoli,top,0.799,0.776,25.0,78.18,tier
pacho team,McKennie,C,Juventus,top,0.800,0.762,14.0,77.15,tier
pacho team,Milinkovic-Savic V.,P,Napoli,semitop,0.780,0.749,19.0,75.67,tier
pacho team,Baturina,C,Como,top,0.690,0.768,14.0,74.85,tier
pacho team,Atta,C,Udinese,semitop,0.735,0.710,16.0,71.62,tier
pacho team,Pellegrino M.,A,Parma,semitop,0.740,0.639,21.0,66.42,tier
pacho team,Ramon,D,Como,semitop,0.721,0.644,12.0,66.33,tier
pacho team,Baschirotto,D,Cremonese,semitop,0.719,0.610,13.0,63.73,tier
pacho team,Martin,D,Genoa,semitop,0.680,0.618,14.0,63.35,tier
pacho team,Caprile,P,Cagliari,semitop,0.695,0.585,12.0,61.25,tier
pacho team,Valeri,D,Parma,starter,0.613,0.518,10.0,54.17,tier
pacho team,Mina,D,Cagliari,starter,0.539,0.505,8.0,51.35,tier
pacho team,Marcandalli,D,Genoa,starter,0.503,0.418,6.0,43.93,tier
pacho team,Zerbin,C,Cremonese,starter,0.498,0.385,6.0,41.33,tier
pacho team,Estupinan,D,Milan,scommessa,0.422,0.394,3.0,40.10,tier
pacho team,Strefezza,C,Par,scommessa,0.228,0.286,10.0,27.15,tier
pacho team,Contini,P,Napoli,scommessa,0.299,0.221,1.0,24.05,tier
pacho team,Venturino,C,Roma,low,0.204,0.236,1.0,22.80,tier
pacho team,Marchwinski,C,Lecce,low,0.281,0.196,1.0,21.73,tier
pacho team,Arena A.,A,Roma,low,0.149,0.192,1.0,18.13,tier
Boiali,Martinez L.,A,Inter,top,0.940,0.917,34.0,92.28,tier
Boiali,Maignan,P,Milan,top,0.877,0.844,20.0,85.22,tier
Boiali,McTominay,C,Napoli,top,0.865,0.829,25.0,83.80,tier
Boiali,Paz N.,C,Como,top,0.839,0.783,30.0,79.70,tier
Boiali,Douvikas,A,Como,semitop,0.804,0.751,21.0,76.43,tier
Boiali,Malen,A,Roma,semitop,0.920,0.652,15.0,71.90,tier
Boiali,Zaniolo,C,Udinese,semitop,0.715,0.682,20.0,69.03,tier
Boiali,Orsolini,C,Bologna,semitop,0.739,0.661,24.0,68.05,tier
Boiali,Ramon,D,Como,semitop,0.721,0.644,12.0,66.33,tier
Boiali,Kean,A,Fiorentina,starter,0.697,0.603,18.0,62.65,tier
Boiali,Delprato,D,Parma,starter,0.652,0.525,9.0,55.68,tier
Boiali,Vasquez,D,Genoa,starter,0.623,0.477,10.0,51.35,tier
Boiali,Zaccagni,C,Lazio,starter,0.575,0.482,14.0,50.52,tier
Boiali,Tiago Gabriel,D,Lecce,starter,0.602,0.461,9.0,49.62,tier
Boiali,Tramoni M.,C,Pisa,starter,0.549,0.445,9.0,47.10,tier
Boiali,Ghilardi,D,Roma,scommessa,0.424,0.447,4.0,44.12,tier
Boiali,Frese,D,Verona,starter,0.499,0.392,6.0,41.88,tier
Boiali,Terracciano,P,Milan,scommessa,0.340,0.439,1.0,41.42,tier
Boiali,Zerbin,C,Cremonese,starter,0.498,0.385,6.0,41.33,tier
Boiali,Canestrelli,D,Pisa,scommessa,0.540,0.361,5.0,40.58,tier
Boiali,Ordonez C.,C,Parma,scommessa,0.355,0.337,2.0,34.15,tier
Boiali,Torriani,P,Milan,scommessa,0.317,0.246,1.0,26.38,tier
Boiali,Okereke,A,Cremonese,low,0.162,0.192,1.0,18.45,tier
Malmö FF,Martinez L.,A,Inter,top,0.940,0.917,34.0,92.28,tier
Malmö FF,McTominay,C,Napoli,top,0.865,0.829,25.0,83.80,tier
Malmö FF,Modric,C,Milan,top,0.831,0.788,19.0,79.88,tier
Malmö FF,Bonny,A,Inter,top,0.738,0.807,14.0,78.98,tier
Malmö FF,Wesley,D,Roma,top,0.781,0.711,16.0,72.85,tier
Malmö FF,Berardi,A,Sassuolo,semitop,0.679,0.705,21.0,69.85,tier
Malmö FF,Di Gregorio,P,Juventus,semitop,0.743,0.667,16.0,68.60,tier
Malmö FF,Malinovskyi,C,Genoa,semitop,0.724,0.640,12.0,66.10,tier
Malmö FF,Ekkelenkamp,C,Udinese,starter,0.657,0.585,12.0,60.30,tier
Malmö FF,Esposito Se.,A,Cagliari,starter,0.674,0.563,16.0,59.08,tier
Malmö FF,De Winter,D,Milan,semitop,0.575,0.565,4.0,56.75,tier
Malmö FF,Terracciano F.,D,Cremonese,starter,0.643,0.520,11.0,55.08,tier
Malmö FF,Buongiorno,D,Napoli,starter,0.607,0.518,10.0,54.02,tier
Malmö FF,Bellanova,D,Atalanta,starter,0.533,0.507,6.0,51.35,tier
Malmö FF,Gila,D,Lazio,starter,0.609,0.465,8.0,50.10,tier
Malmö FF,Coulibaly L.,C,Lecce,starter,0.573,0.472,13.0,49.72,tier
Malmö FF,Comuzzo,D,Fiorentina,starter,0.504,0.420,7.0,44.10,tier
Malmö FF,Adopo,C,Cagliari,scommessa,0.529,0.353,6.0,39.70,tier
Malmö FF,Piccoli,A,Fiorentina,scommessa,0.479,0.366,9.0,39.42,tier
Malmö FF,El Aynaoui,C,Roma,scommessa,0.400,0.381,5.0,38.58,tier
Malmö FF,Zaragoza,C,Rom,scommessa,0.257,0.325,7.0,30.80,tier
Malmö FF,Perin,P,Juventus,scommessa,0.255,0.304,3.0,29.17,tier
Malmö FF,Pinsoglio,P,Juventus,scommessa,0.301,0.223,1.0,24.25,tier
KARABE 1975,Zielinski,C,Inter,top,0.800,0.819,19.0,81.42,tier
KARABE 1975,Hojlund,A,Napoli,top,0.799,0.776,25.0,78.18,tier
KARABE 1975,Baturina,C,Como,top,0.690,0.768,14.0,74.85,tier
KARABE 1975,Pavlovic,D,Milan,top,0.767,0.733,15.0,74.15,tier
KARABE 1975,Scamacca,A,Atalanta,semitop,0.699,0.716,22.0,71.17,tier
KARABE 1975,Zappacosta,D,Atalanta,semitop,0.717,0.631,8.0,65.25,tier
KARABE 1975,Gudmundsson A.,C,Fiorentina,semitop,0.700,0.629,17.0,64.67,tier
KARABE 1975,Kean,A,Fiorentina,starter,0.697,0.603,18.0,62.65,tier
KARABE 1975,Ederson D.S.,C,Atalanta,starter,0.667,0.569,10.0,59.35,tier
KARABE 1975,Esposito Se.,A,Cagliari,starter,0.674,0.563,16.0,59.08,tier
KARABE 1975,Colombo,A,Genoa,starter,0.657,0.531,14.0,56.25,tier
KARABE 1975,Thorstvedt,C,Sassuolo,starter,0.607,0.534,12.0,55.23,tier
KARABE 1975,Valeri,D,Parma,starter,0.613,0.518,10.0,54.17,tier
KARABE 1975,Skorupski,P,Bologna,starter,0.571,0.520,10.0,53.28,tier
KARABE 1975,Idrissi R.,D,Cagliari,starter,0.542,0.509,8.0,51.73,tier
KARABE 1975,Marusic,D,Lazio,starter,0.608,0.480,7.0,51.20,tier
KARABE 1975,Tiago Gabriel,D,Lecce,starter,0.602,0.461,9.0,49.62,tier
KARABE 1975,Ravaglia F.,P,Bologna,starter,0.549,0.466,12.0,48.68,tier
KARABE 1975,Karlstrom,C,Udinese,starter,0.560,0.389,10.0,43.18,tier
KARABE 1975,Canestrelli,D,Pisa,scommessa,0.540,0.361,5.0,40.58,tier
KARABE 1975,Ndour,C,Fiorentina,scommessa,0.427,0.329,6.0,35.35,tier
KARABE 1975,Gineitis,C,Torino,scommessa,0.387,0.300,4.0,32.17,tier
KARABE 1975,Pessina Mas.,P,Bologna,scommessa,0.235,0.304,1.0,28.67,tier
BinuSpuntu,Martinez L.,A,Inter,top,0.940,0.917,34.0,92.28,tier
BinuSpuntu,McTominay,C,Napoli,top,0.865,0.829,25.0,83.80,tier
BinuSpuntu,Paz N.,C,Como,top,0.839,0.783,30.0,79.70,tier
BinuSpuntu,Hojlund,A,Napoli,top,0.799,0.776,25.0,78.18,tier
BinuSpuntu,McKennie,C,Juventus,top,0.800,0.762,14.0,77.15,tier
BinuSpuntu,Saelemaekers,C,Milan,top,0.781,0.719,19.0,73.45,tier
BinuSpuntu,Atta,C,Udinese,semitop,0.735,0.710,16.0,71.62,tier
BinuSpuntu,Sommer,P,Inter,semitop,0.742,0.657,14.0,67.83,tier
BinuSpuntu,Da Cunha,C,Como,semitop,0.703,0.626,11.0,64.53,tier
BinuSpuntu,David,A,Juventus,starter,0.677,0.607,13.0,62.45,tier
BinuSpuntu,Caprile,P,Cagliari,semitop,0.695,0.585,12.0,61.25,tier
BinuSpuntu,Belghali,D,Verona,semitop,0.614,0.599,11.0,60.27,tier
BinuSpuntu,Terracciano F.,D,Cremonese,starter,0.643,0.520,11.0,55.08,tier
BinuSpuntu,Valeri,D,Parma,starter,0.613,0.518,10.0,54.17,tier
BinuSpuntu,Solomon,A,Fiorentina,scommessa,0.600,0.447,7.0,48.52,tier
BinuSpuntu,Martinez Jo.,P,Inter,scommessa,0.352,0.457,1.0,43.07,tier
BinuSpuntu,Canestrelli,D,Pisa,scommessa,0.540,0.361,5.0,40.58,tier
BinuSpuntu,Akinsanmiro,C,Pisa,scommessa,0.401,0.334,7.0,35.08,tier
BinuSpuntu,Pongracic,D,Fiorentina,scommessa,0.472,0.297,5.0,34.08,tier
BinuSpuntu,Van Der Brempt,D,Como,scommessa,0.307,0.324,3.0,31.97,tier
BinuSpuntu,Albarracin,A,Cag,low,0.600,0.202,1.0,30.15,tier
BinuSpuntu,Rugani,D,Juventus,low,0.223,0.247,2.0,24.10,tier
BinuSpuntu,Hojholt,C,Pisa,low,0.192,0.171,2.0,17.62,tier
Nastro Azzurro,Martinez L.,A,Inter,top,0.940,0.917,34.0,92.28,tier
Nastro Azzurro,McTominay,C,Napoli,top,0.865,0.829,25.0,83.80,tier
Nastro Azzurro,Svilar,P,Roma,top,0.868,0.816,19.0,82.90,tier
Nastro Azzurro,Pulisic,C,Milan,top,0.783,0.839,31.0,82.50,tier
Nastro Azzurro,Paz N.,C,Como,top,0.839,0.783,30.0,79.70,tier
Nastro Azzurro,McKennie,C,Juventus,top,0.800,0.762,14.0,77.15,tier
Nastro Azzurro,Baturina,C,Como,top,0.690,0.768,14.0,74.85,tier
Nastro Azzurro,Malen,A,Roma,semitop,0.920,0.652,15.0,71.90,tier
Nastro Azzurro,Kean,A,Fiorentina,starter,0.697,0.603,18.0,62.65,tier
Nastro Azzurro,David,A,Juventus,starter,0.677,0.607,13.0,62.45,tier
Nastro Azzurro,Gabbia,D,Milan,starter,0.621,0.497,8.0,52.80,tier
Nastro Azzurro,Gosens,D,Fiorentina,starter,0.548,0.512,10.0,52.10,tier
Nastro Azzurro,Angori,D,Pisa,starter,0.601,0.493,9.0,52.00,tier
Nastro Azzurro,Obert,D,Cagliari,starter,0.561,0.438,5.0,46.88,tier
Nastro Azzurro,Vergara,C,Napoli,scommessa,0.388,0.457,2.0,43.97,tier
Nastro Azzurro,Zerbin,C,Cremonese,starter,0.498,0.385,6.0,41.33,tier
Nastro Azzurro,Valenti,D,Parma,starter,0.483,0.385,7.0,40.95,tier
Nastro Azzurro,Prati,C,Cagliari,scommessa,0.486,0.342,6.0,37.80,tier
Nastro Azzurro,Veiga D.,D,Lecce,scommessa,0.491,0.332,5.0,37.18,tier
Nastro Azzurro,Pezzella Giu.,D,Cremonese,scommessa,0.455,0.336,4.0,36.58,tier
Nastro Azzurro,Gollini,P,Roma,scommessa,0.311,0.238,1.0,25.62,tier
