round,position,fantateam,predicted_total
33,54,SAGATU,81.38
33,55,i bro,81.22
33,56,SPERA EBBASTA,81.18
33,57,BinuSpuntu,81.15
33,58,ROCKY 3,80.77
33,59,Fc nipiri,80.69
33,60,buttiglia25,80.69
33,61,DEEDPULLY,80.65
33,62,i fratelli merda,80.63
33,63,Mapoitta,80.55
33,64,SPOSTATI,80.48
33,65,BARAKALLAHOUFIK,80.41
33,66,mezzebirre,80.13
33,67,ProPro Proibito,80.11
33,68,Piovra73,79.97
33,69,SMOG,79.7
33,70,HeineKean,79.45
33,71,kalashnikov,79.44
33,72,Sciabolata Classica,79.42
33,73,Giubbentus,79.41
33,74,Riccardigno,79.39
33,75,Lions,79.32
33,76,real donk,79.14
33,77,CuginiDiCampagna,79.07
33,78,SILVEDO,78.94
33,79,Longobarda,78.75
33,80,puerto rosso blu,78.37
33,81,Kung-Fu Pandev,78.03
33,82,Evergreen,77.5
33,83,KARABE 1975,76.16
33,84,lagg,76.03
34,1,Temptation Haaland,87.59
34,2,Fc Cortomuso,86.91
34,3,SPARROW,86.8
34,4,TomMat-iga,85.9
34,5,FC Buttarighe,85.85
34,6,Ipa Bali,85.4
34,7,I COMPARI,85.33
34,8,Non troppo cattivi,85.32
34,9,Tana delle Tigri,85.23
34,10,FC Plasmon,85.18
34,11,EquipoA,85.08
34,12,Nastro Azzurro,84.84
34,13,MARCIO TEAM,84.65
34,14,LosPollosHermanos,83.87
34,15,Lunarossa,83.81
34,16,Collocolo Team,83.78
34,17,Imperatori del culo,83.68
34,18,XLiverpuh,83.68
34,19,Scarzooka,83.62
34,20,FC Spiaze,83.46
34,21,Leonte FC,83.09
34,22,Boiali,82.95
34,23,Concali Craboni FC,82.85
34,24,Pro secco,82.75
34,25,SerSi-FC,82.66
34,26,CLAN,82.63
34,27,LE 4 M,82.6
34,28,Antibro,82.53
34,29,FC Galli,82.46
34,30,A.C.TUA CUCS,82.05
34,31,SPOSTATI,81.94
34,32,SPERA EBBASTA,81.92
34,33,Plu-Team,81.83
34,34,AC DENTI,81.76
34,35,Due Amici al Var,81.76
34,36,scarsenal,81.76
34,37,BARAKALLAHOUFIK,81.71
34,38,Hellas merdona,81.71
34,39,OnlyFans,81.71
34,40,Real Mellandro,81.69
34,41,I Cigni,81.68
34,42,DonBosko46,81.52
34,43,coach 71,81.45
34,44,ISGOPPAISI2,81.39
34,45,Pi-Ciaccio,81.37
34,46,BOBONE32,81.29
34,47,DEEDPULLY,81.11
34,48,Peaky Tunas,81.09
34,49,F.C Pennic Hellas,81.01
34,50,BANDITI,80.89
34,51,BinuSpuntu,80.87
34,52,CISCO TEAM,80.76
34,53,ROCKY 3,80.7
34,54,pacho team,80.6
34,55,kalashnikov,80.37
34,56,mezzebirre,80.3
34,57,i bro,80.19
34,58,LEONE,80.16
34,59,i fratelli merda,79.97
34,60,puerto rosso blu,79.93
34,61,buttiglia25,79.9
34,62,PEAKY BLINDERS,79.8
34,63,Sciabolata Classica,79.77
34,64,Malmö FF,79.57
34,65,ProPro Proibito,79.55
34,66,Lions,79.48
34,67,Mapoitta,79.35
34,68,Piovra73,79.31
34,69,Riccardigno,79.17
34,70,SMOG,79.12
34,71,Sisal Palace,78.96
34,72,SAGATU,78.74
34,73,KARABE 1975,78.66
34,74,Longobarda,78.55
34,75,Sarzanello Team,78.5
34,76,HeineKean,78.42
34,77,CuginiDiCampagna,78.38
34,78,Fc nipiri,78.37
34,79,real donk,77.58
34,80,Evergreen,77.08
34,81,SILVEDO,77.0
34,82,Giubbentus,76.75
34,83,Kung-Fu Pandev,76.48
34,84,lagg,75.81
35,1,Temptation Haaland,89.48
35,2,SPARROW,89.41
35,3,EquipoA,88.99
35,4,LosPollosHermanos,88.98
35,5,FC Buttarighe,87.43
35,6,TomMat-iga,87.35
35,7,Non troppo cattivi,87.26
35,8,Scarzooka,86.92
35,9,Fc Cortomuso,86.81
35,10,FC Plasmon,86.66
35,11,Nastro Azzurro,86.66
35,12,Tana delle Tigri,86.59
35,13,I COMPARI,86.43
35,14,MARCIO TEAM,86.12
35,15,XLiverpuh,86.08
35,16,scarsenal,85.79
35,17,Boiali,85.76
35,18,Real Mellandro,85.71
35,19,Ipa Bali,85.48
35,20,Due Amici al Var,85.19
35,21,A.C.TUA CUCS,85.18
35,22,Imperatori del culo,85.04
35,23,Plu-Team,84.83
35,24,BARAKALLAHOUFIK,84.57
35,25,LE 4 M,84.54
35,26,DEEDPULLY,84.22
35,27,Lunarossa,84.19
35,28,Sarzanello Team,84.04
35,29,Concali Craboni FC,83.82
