nome,R,RM,club,QA,QI,Delta,FVM,missing
Belahyane,C,M;C,Lazio,3.0,4,-1,7,0
Belghali,D,Dd;E,Verona,11.0,4,7,23,0
Bella-Kotchap,D,Dc,Verona,5.0,6,-1,15,0
Bellanova,D,E,Atalanta,6.0,13,-7,17,0
Belotti,A,Pc,Cagliari,8.0,12,-4,30,0
Benedyczak,A,A,Parma,8.0,1,7,10,0
Berardi,A,A,Sassuolo,21.0,21,0,85,0
Berisha M.,C,C;T,Lecce,13.0,3,10,25,0
Bernabè,C,C,Parma,16.0,11,5,34,0
Bernardeschi,C,W;A,Bologna,5.0,9,-4,15,0
Bernasconi,D,E,Atalanta,7.0,1,6,20,0
Bernede,C,C,Verona,9.0,4,5,15,0
Bertola,D,Dc,Udinese,6.0,6,0,12,0
Beukema,D,Dc,Napoli,7.0,10,-3,14,0
Bianchetti,D,Dc,Cremonese,6.0,3,3,12,0
Bijlow,P,Por,Genoa,10.0,10,0,14,0
Biraghi,D,Ds;E,Torino,3.0,8,-5,5,0
Bisseck,D,Dc,Inter,10.0,9,1,28,0
Boloca,C,M;C,Sassuolo,2.0,6,-4,4,0
Bonazzoli,A,A,Cremonese,20.0,1,19,25,0
Bondo,C,M;C,Cremonese,7.0,3,4,16,0
Bonfanti,D,Dc,Pisa,2.0,2,0,8,0
Bonifazi *,,,,0.0,0,0,0,1
Bonny,A,Pc,Inter,14.0,5,9,23,0
Borrelli,A,Pc,Cagliari,13.0,5,8,14,0
Bozhinov,D,Dc,Pisa,2.0,2,0,5,0
Bradaric,D,Ds;E,Verona,6.0,4,2,11,0
Bremer,D,Dc,Juventus,13.0,13,0,53,0
Brescianini,C,C;T,Fiorentina,7.0,8,-1,21,0
Britschgi,D,Dd;Ds;E,Parma,7.0,1,6,12,0
Buffon L.,A,A,Pisa,1.0,1,0,1,0
Buksa,A,Pc,Udinese,9.0,9,0,12,0
Buongiorno,D,Dc,Napoli,10.0,13,-3,17,0
Butez,P,Por,Como,17.0,10,7,58,0
Cabal,D,B;Ds;E,Juventus,9.0,5,4,10,0
Calabresi,D,B;Dd;E,Pisa,5.0,3,2,7,0
Calhanoglu,C,M;C,Inter,28.0,23,5,230,0
Calligaris,P,Por,Inter,1.0,1,0,1,0
Camarda,A,Pc,Lecce,4.0,12,-8,12,0
Cambiaghi,A,A,Bologna,17.0,11,6,31,0
Cambiaso,D,E,Juventus,10.0,15,-5,21,0
Cancellieri,A,W;A,Lazio,14.0,3,11,23,0
Candè,D,Ds;Dc,Sassuolo,2.0,6,-4,5,0
Canestrelli,D,Dc,Pisa,5.0,3,2,12,0
Caprile,P,Por,Cagliari,12.0,7,5,23,0
Caqueret,C,C;T,Como,10.0,12,-2,13,0
Caracciolo A.,D,Dc,Pisa,6.0,4,2,12,0
Carboni V. *,C,,Genoa,4.0,0,0,0,1
Carlos Augusto,D,B;Ds;E,Inter,13.0,10,3,18,0
Carnesecchi,P,Por,Atalanta,17.0,14,3,57,0
Casadei,C,C;T,Torino,7.0,12,-5,23,0
