Team,Giocatore,Ruolo,Squadra,PrezzoAcquisto,PrezzoAttuale
CuginiDiCampagna,Joao Mario,D,Bol,1,1
CuginiDiCampagna,Muharemovic,D,Sas,4,4
CuginiDiCampagna,Pongracic,D,Fio,4,4
CuginiDiCampagna,Ramon,D,Com,4,4
CuginiDiCampagna,Tiago Gabriel,D,Lec,1,1
CuginiDiCampagna,Wesley,D,Rom,15,15
CuginiDiCampagna,Carnesecchi,P,Ata,14,14
CuginiDiCampagna,Rossi F.,P,Ata,1,1
CuginiDiCampagna,Sportiello,P,Ata,1,1
DEEDPULLY,Berardi,A,Sas,21,21
DEEDPULLY,David,A,Juv,15,15
DEEDPULLY,Esposito Se.,A,Cag,17,17
DEEDPULLY,Kilicsoy,A,Cag,6,6
DEEDPULLY,Raspadori,A,Ata,15,15
DEEDPULLY,Iannoni,C,Sas,1,1
DEEDPULLY,Ilkhan,C,Tor,1,1
DEEDPULLY,Loftus-Cheek,C,Mil,9,9
DEEDPULLY,Maldini,C,Laz,3,3
DEEDPULLY,Orsolini,C,Bol,30,30
DEEDPULLY,Pulisic,C,Mil,28,28
DEEDPULLY,Zalewski,C,Ata,7,7
DEEDPULLY,Zaniolo,C,Udi,15,15
DEEDPULLY,Biraghi,D,Tor,8,8
DEEDPULLY,De Winter,D,Mil,8,8
DEEDPULLY,Dimarco,D,Int,31,31
DEEDPULLY,Joao Mario,D,Bol,8,8
DEEDPULLY,Mina,D,Cag,12,12
DEEDPULLY,Muharemovic,D,Sas,7,7
DEEDPULLY,Tavares N.,D,Laz,12,12
DEEDPULLY,Gollini,P,Rom,1,1
DEEDPULLY,Svilar,P,Rom,15,15
DEEDPULLY,Vasquez D. *,P,Rom,1,1
DonBosko46,De Ketelaere,A,Ata,17,17
DonBosko46,Hojlund,A,Nap,21,21
DonBosko46,Martinez L.,A,Int,34,34
DonBosko46,Morata,A,Com,3,3
DonBosko46,Vlahovic,A,Juv,21,21
DonBosko46,Berisha M.,C,Lec,3,3
DonBosko46,Iannoni,C,Sas,1,1
DonBosko46,Maldini,C,Laz,3,3
DonBosko46,McTominay,C,Nap,24,24
DonBosko46,Orsolini,C,Bol,31,31
DonBosko46,Pulisic,C,Mil,28,28
DonBosko46,Saelemaekers,C,Mil,12,12
DonBosko46,Vergara,C,Nap,6,6
DonBosko46,Bellanova,D,Ata,13,13
DonBosko46,Cambiaso,D,Juv,9,9
DonBosko46,Lykogiannis,D,Bol,2,2
DonBosko46,Mancini,D,Rom,11,11
DonBosko46,Oyegoke,D,Ver,2,2
DonBosko46,Tiago Gabriel,D,Lec,1,1
DonBosko46,Vojvoda,D,Com,12,12
DonBosko46,Martinez Jo.,P,Int,2,2
DonBosko46,Perin,P,Juv,1,1
DonBosko46,Sommer,P,Int,16,16
Due Amici al Var,David,A,Juv,13,13
Due Amici al Var,Kean,A,Fio,22,22
Due Amici al Var,Malen,A,Rom,14,14
Due Amici al Var,Martinez L.,A,Int,36,36
Due Amici al Var,Pavoletti,A,Cag,1,1
Due Amici al Var,Diouf,C,Int,1,1
Due Amici al Var,Gineitis,C,Tor,4,4
Due Amici al Var,Maldini,C,Laz,3,3
Due Amici al Var,McTominay,C,Nap,24,24
Due Amici al Var,Orsolini,C,Bol,30,30
Due Amici al Var,Paz N.,C,Com,21,21
Due Amici al Var,Prati,C,Tor,3,3
Due Amici al Var,Zaniolo,C,Udi,20,20
Due Amici al Var,Dodò,D,Fio,11,11
Due Amici al Var,Joao Mario,D,Bol,1,1
Due Amici al Var,Lazaro,D,Tor,7,7
Due Amici al Var,Lazzari,D,Laz,4,4
Due Amici al Var,Tiago Gabriel,D,Lec,1,1
Due Amici al Var,Tomori,D,Mil,8,8
Due Amici al Var,Wesley,D,Rom,14,14
Due Amici al Var,Di Gregorio,P,Juv,16,16
Due Amici al Var,Perin,P,Juv,1,1
Due Amici al Var,Sava,P,Udi,4,4
EquipoA,Berardi,A,Sas,24,24
EquipoA,Malen,A,Rom,14,14
EquipoA,Martinez L.,A,Int,34,34
EquipoA,Rodriguez Je.,A,Com,6,6
EquipoA,Yildiz,A,Juv,30,30
EquipoA,Ilkhan,C,Tor,1,1
EquipoA,Maldini,C,Laz,3,3
EquipoA,Ndour,C,Fio,2,2
EquipoA,Orsolini,C,Bol,30,30
EquipoA,Paz N.,C,Com,21,21
EquipoA,Pulisic,C,Mil,28,28
EquipoA,Zaccagni,C,Laz,13,13
EquipoA,Zerbin,C,Cre,3,3
EquipoA,Bellanova,D,Ata,6,6
EquipoA,Dumfries,D,Int,20,20
EquipoA,Palestra,D,Cag,4,4
EquipoA,Ramon,D,Com,5,5
EquipoA,Rrahmani,D,Nap,7,7
EquipoA,Zappacosta,D,Ata,9,9
EquipoA,Zemura,D,Udi,3,3
EquipoA,Martinez Jo.,P,Int,1,1
EquipoA,Meret,P,Nap,8,8
EquipoA,Milinkovic-Savic V.,P,Nap,4,4
Evergreen,David,A,Juv,15,15
Evergreen,Ekhator,A,Gen,1,1
Evergreen,Lukaku,A,Nap,15,15
Evergreen,Pavoletti,A,Cag,1,1
Evergreen,Zapata D.,A,Tor,6,6
Evergreen,Gudmundsson A.,C,Fio,17,17
Evergreen,Harroui,C,Ver,7,7
Evergreen,Iannoni,C,Sas,1,1
Evergreen,Ilkhan,C,Tor,1,1
Evergreen,Politano,C,Nap,16,16
Evergreen,Sucic P.,C,Int,9,9
Evergreen,Zalewski,C,Ata,6,6
Evergreen,Zielinski,C,Int,22,22
Evergreen,Buongiorno,D,Nap,13,13
Evergreen,Dimarco,D,Int,31,31
Evergreen,Hermoso,D,Rom,10,10
Evergreen,Kossounou,D,Ata,9,9
Evergreen,Ostigard,D,Gen,9,9
Evergreen,Palestra,D,Cag,17,17
Evergreen,Pezzella Giu.,D,Cre,6,6
Evergreen,De Gea,P,Fio,14,14
Evergreen,Gollini,P,Rom,1,1
Evergreen,Lezzerini,P,Fio,1,1
F.C Pennic Hellas,David,A,Juv,15,15
F.C Pennic Hellas,Esposito F.P.,A,Int,7,7
F.C Pennic Hellas,Giovane,A,Nap,3,3
F.C Pennic Hellas,Hojlund,A,Nap,24,24
F.C Pennic Hellas,Martinez L.,A,Int,34,34
F.C Pennic Hellas,Adopo,C,Cag,5,5
F.C Pennic Hellas,Atta,C,Udi,6,6
F.C Pennic Hellas,Basic,C,Laz,1,1
F.C Pennic Hellas,Ederson D.S.,C,Ata,11,11
F.C Pennic Hellas,Venturino,C,Rom,2,2
F.C Pennic Hellas,Vlasic,C,Tor,14,14
F.C Pennic Hellas,Zaccagni,C,Laz,26,26
F.C Pennic Hellas,Zaniolo,C,Udi,20,20
F.C Pennic Hellas,Dimarco,D,Int,27,27
F.C Pennic Hellas,Dodò,D,Fio,11,11
F.C Pennic Hellas,Muharemovic,D,Sas,4,4
F.C Pennic Hellas,Ndaba,D,Lec,1,1
F.C Pennic Hellas,Norton-Cuffy,D,Gen,3,3
F.C Pennic Hellas,Tiago Gabriel,D,Lec,1,1
F.C Pennic Hellas,Valle,D,Com,6,6
F.C Pennic Hellas,Caprile,P,Cag,7,7
F.C Pennic Hellas,Milinkovic-Savic V.,P,Nap,4,4
F.C Pennic Hellas,Sherri,P,Cag,1,1
FC Buttarighe,Boga,A,Juv,6,6
FC Buttarighe,Esposito F.P.,A,Int,7,7
FC Buttarighe,Malen,A,Rom,14,14
FC Buttarighe,Martinez L.,A,Int,36,36
FC Buttarighe,Rodriguez Je.,A,Com,6,6
FC Buttarighe,El Shaarawy,C,Rom,8,8
FC Buttarighe,Hojholt,C,Pis,1,1
FC Buttarighe,McTominay,C,Nap,26,26
FC Buttarighe,Modric,C,Mil,12,12
FC Buttarighe,Paz N.,C,Com,20,20
FC Buttarighe,Pulisic,C,Mil,28,28
FC Buttarighe,Zalewski,C,Ata,6,6
FC Buttarighe,Zielinski,C,Int,22,22
FC Buttarighe,Coppola F.,D,Pis,1,1
FC Buttarighe,Delprato,D,Par,8,8
FC Buttarighe,Dodò,D,Fio,12,12
FC Buttarighe,Kalulu,D,Juv,13,13
FC Buttarighe,Mina,D,Cag,7,7
FC Buttarighe,Norton-Cuffy,D,Gen,6,6
FC Buttarighe,Van Der Brempt,D,Com,4,4
FC Buttarighe,De Gea,P,Fio,14,14
FC Buttarighe,Lezzerini,P,Fio,1,1
FC Buttarighe,Terracciano,P,Mil,1,1
FC Galli,Hojlund,A,Nap,24,24
FC Galli,Leao,A,Mil,22,22
FC Galli,Martinez L.,A,Int,34,34
FC Galli,Moro L.,A,Sas,1,1
FC Galli,Pedro,A,Laz,9,9
FC Galli,Akpa Akpro,C,Ver,1,1
FC Galli,Basic,C,Laz,1,1
FC Galli,Folorunsho,C,Cag,9,9
FC Galli,Malinovskyi,C,Gen,7,7
FC Galli,Pasalic,C,Ata,11,11
FC Galli,Pulisic,C,Mil,28,28
FC Galli,Zarraga,C,Udi,3,3
FC Galli,Zielinski,C,Int,22,22
FC Galli,Akanji,D,Int,11,11
FC Galli,Bellanova,D,Ata,6,6
FC Galli,Doig,D,Sas,4,4
FC Galli,Juan Jesus,D,Nap,4,4
FC Galli,Kalulu,D,Juv,9,9
FC Galli,Kristensen T.,D,Udi,5,5
FC Galli,Lazzari,D,Laz,3,3
FC Galli,Gollini,P,Rom,1,1
FC Galli,Scuffet,P,Pis,3,3
FC Galli,Svilar,P,Rom,15,15
FC Plasmon,Albarracin,A,Cag,1,1
FC Plasmon,David,A,Juv,15,15
FC Plasmon,Kean,A,Fio,31,31
FC Plasmon,Malen,A,Rom,14,14
FC Plasmon,Martinez L.,A,Int,36,36
FC Plasmon,Akpa Akpro,C,Ver,1,1
FC Plasmon,Maldini,C,Laz,3,3
FC Plasmon,Malinovskyi,C,Gen,7,7
FC Plasmon,Ndour,C,Fio,2,2
FC Plasmon,Paz N.,C,Com,20,20
FC Plasmon,Pulisic,C,Mil,28,28
FC Plasmon,Venturino,C,Rom,2,2
FC Plasmon,Zerbin,C,Cre,3,3
FC Plasmon,Angelino,D,Rom,8,8
FC Plasmon,Cambiaso,D,Juv,15,15
FC Plasmon,Dimarco,D,Int,31,31
FC Plasmon,Dodò,D,Fio,11,11
FC Plasmon,Martin,D,Gen,10,10
FC Plasmon,Miranda J.,D,Bol,9,9
FC Plasmon,Tiago Gabriel,D,Lec,1,1
FC Plasmon,Motta,P,Laz,1,1
FC Plasmon,Perin,P,Juv,1,1
FC Plasmon,Provedel,P,Laz,12,12
FC Spiaze,De Ketelaere,A,Ata,22,22
FC Spiaze,Hojlund,A,Nap,24,24
FC Spiaze,Martinez L.,A,Int,34,34
FC Spiaze,Pavoletti,A,Cag,1,1
FC Spiaze,Rodriguez Je.,A,Com,6,6
FC Spiaze,Bernede,C,Ver,9,9
FC Spiaze,Diouf,C,Int,1,1
FC Spiaze,Iannoni,C,Sas,1,1
FC Spiaze,Leris,C,Pis,2,2
FC Spiaze,Paz N.,C,Com,20,20
FC Spiaze,Pulisic,C,Mil,28,28
FC Spiaze,Ricci S.,C,Mil,10,10
FC Spiaze,Vergara,C,Nap,6,6
FC Spiaze,Beukema,D,Nap,10,10
FC Spiaze,Dimarco,D,Int,19,19
FC Spiaze,Joao Mario,D,Bol,1,1
FC Spiaze,Norton-Cuffy,D,Gen,7,7
FC Spiaze,Palestra,D,Cag,17,17
FC Spiaze,Pellegrini Lu.,D,Laz,6,6
FC Spiaze,Tiago Gabriel,D,Lec,1,1
FC Spiaze,Di Gregorio,P,Juv,16,16
FC Spiaze,Perin,P,Juv,1,1
FC Spiaze,Siegrist,P,Gen,1,1
Fc Cortomuso,Kean,A,Fio,17,17
Fc Cortomuso,Kulenovic,A,Tor,5,5
Fc Cortomuso,Leao,A,Mil,22,22
Fc Cortomuso,Malen,A,Rom,14,14
Fc Cortomuso,Martinez L.,A,Int,27,27
Fc Cortomuso,Ilkhan,C,Tor,1,1
Fc Cortomuso,Maldini,C,Laz,3,3
Fc Cortomuso,Malinovskyi,C,Gen,7,7
Fc Cortomuso,McTominay,C,Nap,24,24
Fc Cortomuso,Orsolini,C,Bol,30,30
Fc Cortomuso,Paz N.,C,Com,20,20
Fc Cortomuso,Pulisic,C,Mil,28,28
Fc Cortomuso,Venturino,C,Rom,3,3
Fc Cortomuso,Ahanor,D,Ata,5,5
Fc Cortomuso,Bellanova,D,Ata,10,10
Fc Cortomuso,Dodò,D,Fio,11,11
Fc Cortomuso,Martin,D,Gen,10,10
Fc Cortomuso,Palestra,D,Cag,17,17
Fc Cortomuso,Pavlovic,D,Mil,7,7
Fc Cortomuso,Tiago Gabriel,D,Lec,1,1
Fc Cortomuso,Meret,P,Nap,16,16
Fc Cortomuso,Milinkovic-Savic V.,P,Nap,4,4
Fc Cortomuso,Sava,P,Udi,4,4
Fc nipiri,Berardi,A,Sas,21,21
Fc nipiri,Bonny,A,Int,16,16
Fc nipiri,Buffon L. *,A,Pis,1,1
Fc nipiri,David,A,Juv,27,27
Fc nipiri,Pavoletti,A,Cag,1,1
Fc nipiri,Gineitis,C,Tor,5,5
Fc nipiri,Karlstrom,C,Udi,6,6
Fc nipiri,Liteta,C,Cag,1,1
Fc nipiri,Musah,C,Ata,6,6
Fc nipiri,Orsolini,C,Bol,30,30
Fc nipiri,Paz N.,C,Com,21,21
Fc nipiri,Thuram K.,C,Juv,15,15
Fc nipiri,Zarraga,C,Udi,2,2
Fc nipiri,Akanji,D,Int,9,9
Fc nipiri,Di Lorenzo,D,Nap,14,14
Fc nipiri,Doig,D,Sas,6,6
Fc nipiri,Gosens,D,Fio,18,18
Fc nipiri,Mbambi *,D,Pis,1,1
Fc nipiri,Scalvini,D,Ata,8,8
