ID,Giocatore,Posizione,Squadra,Partite giocate
6804,Richardson,C,Fiorentina,1
6010,Fazzini,C,Fiorentina,8
5788,Sabiri,C,Fiorentina,1
6980,Venturino,C,Roma,2
6722,Gronbaek,C,Genoa,2
5719,Asllani,C,Torino,14
5872,Helgason,C,Lecce,3
7138,Ordonez C.,C,Parma,9
4423,Hernani,C,Parma,3
7150,Vural,C,Pisa,8
6219,Boloca,C,Sassuolo,2
6212,Zarraga,C,Udinese,4
6506,Fini,C,Genoa,1
5610,Vranckx,C,Sassuolo,12
7248,Gorter,C,Lecce,1
6538,Onana J.,C,Genoa,1
4677,Cornet,C,Genoa,4
5286,Akpa Akpro,C,Verona,9
7165,Liteta,C,Cagliari,2
7135,Stanciu,C,Genoa,4
6633,Pierret,C,Lecce,1
7147,Hojholt,C,Pisa,6
2117,Kastanos,C,Verona,1
6274,Diouf,C,Inter,3
7246,Sala A.,C,Lecce,4
2764,Martinez L.,A,Inter,23
6434,Yildiz,A,Juventus,22
4871,Thuram,A,Inter,17
4510,Leao,A,Milan,16
7017,Douvikas,A,Como,21
5734,Soulè,A,Roma,22
5637,Davis K.,A,Udinese,22
6052,Hojlund,A,Napoli,19
2137,Scamacca,A,Atalanta,15
531,Berardi,A,Sassuolo,13
6572,Castro S.,A,Bologna,20
6435,Krstovic,A,Atalanta,18
6552,Orban G.,A,Verona,20
505,Bonazzoli,A,Cremonese,20
7071,Esposito F.P.,A,Inter,18
7023,Pellegrino M.,A,Parma,23
4728,Nkunku,A,Milan,15
2499,Vardy,A,Cremonese,19
6226,Castellanos,A,Lazio,11
2061,Simeone,A,Torino,17
5455,Moreo,A,Pisa,20
6060,Laurientè,A,Sassuolo,22
5995,De Ketelaere,A,Atalanta,21
2097,Kean,A,Fiorentina,20
4463,Esposito Se.,A,Cagliari,22
6669,Bonny,A,Inter,14
6646,Adams C.,A,Torino,21
4436,Cambiaghi,A,Bologna,18
7162,Giovane,A,Napoli,22
7199,Kilicsoy,A,Cagliari,10
7316,Durosinmi,A,Pisa,3
5544,David,A,Juventus,19
4371,Raspadori,A,Atalanta,2
6365,Ferguson E.,A,Roma,14
4730,Lookman,A,Atalanta,10
2841,Vlahovic,A,Juventus,13
5500,Cancellieri,A,Lazio,16
6675,Dovbyk,A,Roma,12
2038,Pinamonti,A,Sassuolo,22
2678,Fullkrug,A,Milan,6
7313,Ratkov,A,Lazio,4
5585,Malen,A,Roma,3
6243,Borrelli,A,Cagliari,21
4923,Colombo,A,Genoa,22
6164,Vitinha O.,A,Genoa,19
7120,Lang,A,Napoli,14
309,Dybala,A,Roma,17
7129,Rodriguez Je.,A,Como,19
6001,Banda,A,Lecce,18
7008,Gimenez,A,Milan,9
5918,Sulemana K.,A,Atalanta,13
7127,Addai,A,Como,11
6556,Noslin,A,Lazio,10
5506,Ekuban,A,Genoa,17
7001,N'Dri,A,Lecce,9
5336,Nzola,A,Sassuolo,16
6981,Vaz,A,Roma,2
4359,Piccoli,A,Fiorentina,18
6822,Ekhator,A,Genoa,15
2489,Pedro,A,Lazio,13
6145,Ngonge,A,Torino,17
6314,Openda,A,Juventus,13
6643,Dallinga,A,Bologna,15
6667,Benedyczak,A,Parma,10
6836,Meister,A,Pisa,18
6630,Mosquera,A,Verona,12
441,Belotti,A,Cagliari,3
