ID,Giocatore,Posizione,Squadra,Fantamedia
6528,Sarmiento J.,C,Cremonese,5.9
6024,Sulemana I.,C,Cagliari,6.5
7132,Collocolo,C,Cremonese,5.88
6804,Richardson,C,Fiorentina,5.5
6010,Fazzini,C,Fiorentina,5.81
5788,Sabiri,C,Fiorentina,5.5
6722,Gronbaek,C,Genoa,5.25
5719,Asllani,C,Torino,5.25
5872,Helgason,C,Lecce,5.5
7138,Ordonez C.,C,Parma,5.39
4423,Hernani,C,Parma,5.67
7150,Vural,C,Pisa,5.62
6219,Boloca,C,Sassuolo,5.75
6889,Anjorin,C,Torino,5.58
6212,Zarraga,C,Udinese,5.62
6005,Ilkhan,C,Torino,5.57
7223,Vergara,C,Napoli,7.33
6506,Fini,C,Genoa,5.5
6274,Diouf,C,Inter,5.67
5610,Vranckx,C,Sassuolo,5.54
7248,Gorter,C,Lecce,5.5
6538,Onana J.,C,Genoa,5.5
4677,Cornet,C,Genoa,4.38
5286,Akpa Akpro,C,Verona,5.67
7165,Liteta,C,Cagliari,5.75
7135,Stanciu,C,Genoa,4.75
6980,Venturino,C,Roma,5.75
6633,Pierret,C,Lecce,6.0
7147,Hojholt,C,Pisa,5.58
2117,Kastanos,C,Verona,6.0
7246,Sala A.,C,Lecce,6.0
2764,Martinez L.,A,Inter,8.22
6434,Yildiz,A,Juventus,7.61
4871,Thuram,A,Inter,7.56
4510,Leao,A,Milan,7.53
5734,Soulè,A,Roma,7.16
5637,Davis K.,A,Udinese,7.27
6052,Hojlund,A,Napoli,7.05
7017,Douvikas,A,Como,7.31
2137,Scamacca,A,Atalanta,7.37
6572,Castro S.,A,Bologna,7.08
6435,Krstovic,A,Atalanta,7.25
531,Berardi,A,Sassuolo,7.81
6552,Orban G.,A,Verona,7.0
505,Bonazzoli,A,Cremonese,6.9
7023,Pellegrino M.,A,Parma,6.76
7071,Esposito F.P.,A,Inter,6.97
2061,Simeone,A,Torino,6.97
6060,Laurientè,A,Sassuolo,6.59
2499,Vardy,A,Cremonese,6.63
6226,Castellanos,A,Lazio,6.82
5455,Moreo,A,Pisa,6.8
5995,De Ketelaere,A,Atalanta,6.69
4436,Cambiaghi,A,Bologna,6.64
2097,Kean,A,Fiorentina,6.55
4463,Esposito Se.,A,Cagliari,6.73
4728,Nkunku,A,Milan,6.96
6669,Bonny,A,Inter,7.61
4371,Raspadori,A,Atalanta,7.75
6365,Ferguson E.,A,Roma,6.86
6646,Adams C.,A,Torino,6.62
7162,Giovane,A,Napoli,6.57
7316,Durosinmi,A,Pisa,7.67
