ID,Giocatore,Posizione,Squadra,Mediavoto
6394,Ramadani,C,Lecce,5.84
5295,Musah,C,Atalanta,5.95
5290,Estevez,C,Parma,5.79
6984,Ondrejka,C,Parma,5.64
7145,Piccinini G.,C,Pisa,5.92
5823,Baldanzi,C,Genoa,6.0
5540,Niasse,C,Verona,5.85
6106,Carboni V.,C,Genoa,5.7
2848,Frattesi,C,Inter,6.0
5685,Koopmeiners,C,Juventus,5.67
5457,Maleh,C,Cremonese,5.83
4856,Chukwueze,C,Milan,5.5
5319,Sohm,C,Bologna,5.61
7149,Marin M.,C,Pisa,5.84
6271,El Aynaoui,C,Roma,6.0
6246,Lipani,C,Sassuolo,5.83
7157,Iannoni,C,Sassuolo,6.0
4890,Tameze,C,Torino,5.65
6170,Gineitis,C,Torino,5.69
7203,Jashari,C,Milan,5.9
6218,Oristanio,C,Parma,5.71
4896,Maldini,C,Lazio,5.86
4284,Sergi Roberto,C,Como,5.93
6191,Belahyane,C,Lazio,5.75
4459,Rovella,C,Lazio,5.83
6629,Dele-Bashiru,C,Lazio,5.71
6410,Kaba,C,Lecce,5.77
6634,Tete Morente,C,Lecce,5.57
5007,Ilic,C,Torino,6.0
6889,Anjorin,C,Torino,5.67
5850,Lovric,C,Verona,5.62
5688,Harroui,C,Verona,5.69
7208,Miller L.,C,Udinese,5.88
6677,Adzic,C,Juventus,6.12
6005,Ilkhan,C,Torino,5.64
7010,Al-Musrati,C,Verona,5.69
4349,Nicolussi Caviglia,C,Parma,5.61
6528,Sarmiento J.,C,Cremonese,5.9
7132,Collocolo,C,Cremonese,6.0
6804,Richardson,C,Fiorentina,5.5
6010,Fazzini,C,Fiorentina,5.81
5788,Sabiri,C,Fiorentina,5.5
6980,Venturino,C,Roma,5.75
6722,Gronbaek,C,Genoa,5.5
5719,Asllani,C,Torino,5.57
5872,Helgason,C,Lecce,5.5
7138,Ordonez C.,C,Parma,5.61
4423,Hernani,C,Parma,5.67
7150,Vural,C,Pisa,5.81
6219,Boloca,C,Sassuolo,5.75
6212,Zarraga,C,Udinese,5.75
6506,Fini,C,Genoa,5.5
5610,Vranckx,C,Sassuolo,5.62
7248,Gorter,C,Lecce,5.5
6538,Onana J.,C,Genoa,5.5
4677,Cornet,C,Genoa,5.12
5286,Akpa Akpro,C,Verona,5.89
7165,Liteta,C,Cagliari,5.75
7135,Stanciu,C,Genoa,5.5
6633,Pierret,C,Lecce,6.0
7147,Hojholt,C,Pisa,5.67
2117,Kastanos,C,Verona,6.0
6274,Diouf,C,Inter,5.67
7246,Sala A.,C,Lecce,5.75
2764,Martinez L.,A,Inter,6.41
6434,Yildiz,A,Juventus,6.52
4871,Thuram,A,Inter,6.38
4510,Leao,A,Milan,6.12
7017,Douvikas,A,Como,6.17
5734,Soulè,A,Roma,6.18
5637,Davis K.,A,Udinese,6.27
6052,Hojlund,A,Napoli,6.03
2137,Scamacca,A,Atalanta,6.17
531,Berardi,A,Sassuolo,6.5
6572,Castro S.,A,Bologna,6.08
6435,Krstovic,A,Atalanta,6.08
6552,Orban G.,A,Verona,6.0
505,Bonazzoli,A,Cremonese,6.12
7071,Esposito F.P.,A,Inter,6.33
7023,Pellegrino M.,A,Parma,6.04
4728,Nkunku,A,Milan,6.03
2499,Vardy,A,Cremonese,5.95
6226,Castellanos,A,Lazio,6.09
2061,Simeone,A,Torino,6.09
5455,Moreo,A,Pisa,6.08
6060,Laurientè,A,Sassuolo,6.09
5995,De Ketelaere,A,Atalanta,6.17
2097,Kean,A,Fiorentina,5.82
4463,Esposito Se.,A,Cagliari,6.23
6669,Bonny,A,Inter,6.32
6646,Adams C.,A,Torino,6.0
4436,Cambiaghi,A,Bologna,6.06
7162,Giovane,A,Napoli,6.02
7199,Kilicsoy,A,Cagliari,6.4
7316,Durosinmi,A,Pisa,6.33
5544,David,A,Juventus,5.87
4371,Raspadori,A,Atalanta,6.25
6365,Ferguson E.,A,Roma,6.11
4730,Lookman,A,Atalanta,5.8
2841,Vlahovic,A,Juventus,5.96
5500,Cancellieri,A,Lazio,6.03
6675,Dovbyk,A,Roma,6.0
2038,Pinamonti,A,Sassuolo,5.82
2678,Fullkrug,A,Milan,6.08
7313,Ratkov,A,Lazio,5.62
5585,Malen,A,Roma,6.0
6243,Borrelli,A,Cagliari,5.95
4923,Colombo,A,Genoa,5.86
6164,Vitinha O.,A,Genoa,5.97
7120,Lang,A,Napoli,6.04
309,Dybala,A,Roma,6.09
7129,Rodriguez Je.,A,Como,6.11
6001,Banda,A,Lecce,5.97
7008,Gimenez,A,Milan,5.56
5918,Sulemana K.,A,Atalanta,6.04
7127,Addai,A,Como,6.0
6556,Noslin,A,Lazio,5.8
