Team,Ruolo,Giocatore,Squadra,PrezzoAcquisto,PrezzoAttuale
CuginiDiCampagna,D,Cambiaso,Juventus,15.0,10.0
CuginiDiCampagna,D,Frese,Verona,3.0,6.0
CuginiDiCampagna,D,Muharemovic,Sassuolo,4.0,7.0
CuginiDiCampagna,D,Pongracic,Fiorentina,4.0,5.0
CuginiDiCampagna,D,Ramon,Como,4.0,12.0
CuginiDiCampagna,D,Tiago Gabriel,Lecce,1.0,9.0
CuginiDiCampagna,C,Adopo,Cagliari,5.0,6.0
CuginiDiCampagna,C,Asllani,Torino,4.0,3.0
CuginiDiCampagna,C,Collocolo,Cremonese,8.0,2.0
CuginiDiCampagna,C,Marchwinski,Lecce,1.0,1.0
CuginiDiCampagna,C,Orsolini,Bologna,31.0,24.0
CuginiDiCampagna,C,Pulisic,Milan,28.0,31.0
CuginiDiCampagna,C,Zaniolo,Udinese,15.0,20.0
CuginiDiCampagna,C,Zerbin,Cremonese,3.0,6.0
CuginiDiCampagna,A,Bonazzoli,Cremonese,1.0,20.0
CuginiDiCampagna,A,David,Juventus,16.0,13.0
CuginiDiCampagna,A,Esposito Se.,Cagliari,7.0,16.0
CuginiDiCampagna,A,Kean,Fiorentina,33.0,18.0
CuginiDiCampagna,A,Pinamonti,Sassuolo,16.0,14.0
DEEDPULLY,P,Gollini,Roma,1.0,1.0
DEEDPULLY,P,Svilar,Roma,15.0,19.0
DEEDPULLY,P,Vasquez D.,Roma,1.0,1.0
DEEDPULLY,D,Biraghi,Torino,8.0,3.0
DEEDPULLY,D,De Winter,Milan,8.0,4.0
DEEDPULLY,D,Joao Mario,Juventus,8.0,2.0
DEEDPULLY,D,Mina,Cagliari,7.0,8.0
DEEDPULLY,D,Muharemovic,Sassuolo,4.0,7.0
DEEDPULLY,D,Norton-Cuffy,Genoa,3.0,7.0
DEEDPULLY,D,Tavares N.,Lazio,12.0,6.0
DEEDPULLY,C,Iannoni,Sassuolo,1.0,5.0
DEEDPULLY,C,Ilkhan,Torino,1.0,2.0
DEEDPULLY,C,Kaba,Lecce,1.0,3.0
DEEDPULLY,C,Loftus-Cheek,Milan,8.0,13.0
DEEDPULLY,C,Orsolini,Bologna,31.0,24.0
DEEDPULLY,C,Pulisic,Milan,28.0,31.0
DEEDPULLY,C,Zalewski,Atalanta,6.0,15.0
DEEDPULLY,C,Zaniolo,Udinese,15.0,20.0
DEEDPULLY,A,Berardi,Sassuolo,21.0,21.0
DEEDPULLY,A,Bonazzoli,Cremonese,1.0,20.0
DEEDPULLY,A,Castro S.,Bologna,22.0,24.0
DEEDPULLY,A,Kilicsoy,Cagliari,3.0,12.0
DEEDPULLY,A,Thuram,Inter,31.0,29.0
DonBosko46,P,Martinez Jo.,Inter,2.0,1.0
DonBosko46,P,Perin,Juventus,1.0,3.0
DonBosko46,P,Sommer,Inter,16.0,14.0
DonBosko46,D,Bellanova,Atalanta,13.0,6.0
DonBosko46,D,Dodò,Fiorentina,11.0,6.0
DonBosko46,D,Mancini,Roma,11.0,10.0
